Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
ARI,25,27.4,5.28,77,85,.475,4.84,162,162,156,6,10,1,45,1456.1,1580,856,783,193,537,43,1038,62,5,58,6402,91,4.55,1.454,9.8,1.2,3.3,6.4,1.93,1177
ATL,26,28.6,4.16,90,72,.556,3.98,162,162,154,8,12,3,38,1443.2,1487,674,639,145,520,52,929,32,5,42,6186,107,4.19,1.390,9.3,0.9,3.2,5.8,1.79,1181
BAL,20,28.3,4.94,74,88,.457,4.56,162,162,160,2,9,0,38,1427.2,1458,800,724,180,580,32,1052,52,11,70,6242,95,4.51,1.428,9.2,1.1,3.7,6.6,1.81,1159
BOS,26,33.6,4.97,95,67,.586,4.74,162,162,156,6,8,0,38,1429.0,1550,805,752,164,440,28,959,89,4,56,6227,96,4.28,1.393,9.8,1.0,2.8,6.0,2.18,1135
CHC,22,28.2,4.41,79,83,.488,4.19,162,162,154,8,10,2,39,1440.0,1357,714,671,186,576,48,1256,50,7,57,6185,105,4.26,1.342,8.5,1.2,3.6,7.9,2.18,1151
CHW,17,29.3,3.98,99,63,.611,3.61,162,162,153,9,10,4,54,1475.2,1392,645,592,167,459,42,1040,52,9,65,6176,125,4.12,1.254,8.5,1.0,2.8,6.3,2.27,1104
CIN,22,28.9,5.45,73,89,.451,5.15,163,163,161,2,1,0,31,1433.0,1657,889,820,219,492,47,955,80,3,53,6397,83,4.87,1.500,10.4,1.4,3.1,6.0,1.94,1209
CLE,17,29.2,3.96,93,69,.574,3.61,162,162,156,6,10,0,51,1452.2,1363,642,582,157,413,20,1050,41,4,26,6048,117,3.92,1.223,8.4,1.0,2.6,6.5,2.54,1048
COL,27,27.3,5.32,67,95,.414,5.13,162,162,158,4,4,1,37,1418.2,1600,862,808,175,604,54,981,84,6,65,6385,94,4.70,1.554,10.2,1.1,3.8,6.2,1.62,1267
DET,23,28.0,4.86,71,91,.438,4.51,162,162,155,7,2,0,37,1435.2,1504,787,719,193,461,33,907,51,5,53,6139,94,4.57,1.369,9.4,1.2,2.9,5.7,1.97,1045
FLA,27,29.5,4.52,83,79,.512,4.16,162,162,148,14,15,8,42,1442.1,1459,732,666,116,563,57,1125,65,3,45,6236,96,3.81,1.402,9.1,0.7,3.5,7.0,2.00,1177
HOU,17,30.3,3.74,89,73,.549,3.51,163,163,157,6,11,2,45,1443.0,1336,609,563,155,440,29,1164,59,8,38,6023,121,3.84,1.231,8.3,1.0,2.7,7.3,2.65,1085
KCR,22,25.7,5.77,56,106,.346,5.49,162,162,158,4,4,0,25,1413.1,1640,935,862,178,580,33,924,74,9,69,6370,80,4.74,1.571,10.4,1.1,3.7,5.9,1.59,1195
LAA,18,28.5,3.97,95,67,.586,3.68,162,162,155,7,11,3,54,1464.1,1419,643,598,158,443,24,1126,48,1,70,6158,116,3.89,1.272,8.7,1.0,2.7,6.9,2.54,1122
LAD,20,28.5,4.66,71,91,.438,4.38,162,162,156,6,9,4,40,1427.1,1434,755,695,182,471,34,1004,64,6,36,6113,94,4.40,1.335,9.0,1.1,3.0,6.3,2.13,1076
MIL,19,28.0,4.30,81,81,.500,3.97,162,162,155,7,6,2,46,1438.0,1382,697,635,169,569,52,1173,45,8,66,6208,108,4.20,1.357,8.6,1.1,3.6,7.3,2.06,1197
MIN,15,27.9,4.09,83,79,.512,3.71,162,162,153,9,8,4,44,1464.1,1458,662,604,169,348,38,965,43,4,35,6072,120,4.00,1.233,9.0,1.0,2.1,5.9,2.77,1017
NYM,22,31.9,4.00,83,79,.512,3.76,162,162,154,8,11,3,38,1435.2,1390,648,599,135,491,43,1012,56,4,32,6121,109,3.98,1.310,8.7,0.8,3.1,6.3,2.06,1166
NYY,28,34.2,4.87,95,67,.586,4.52,162,162,154,8,14,4,46,1430.2,1495,789,718,164,463,25,985,84,6,37,6182,94,4.28,1.369,9.4,1.0,2.9,6.2,2.13,1101
OAK,20,26.6,4.06,88,74,.543,3.69,162,162,153,9,12,2,38,1450.1,1315,658,594,154,504,42,1075,60,3,41,6080,118,4.08,1.254,8.2,1.0,3.1,6.7,2.13,1071
PHI,19,29.7,4.48,88,74,.543,4.21,162,162,158,4,6,0,40,1435.0,1379,726,672,189,487,51,1159,72,9,36,6119,105,4.29,1.300,8.6,1.2,3.1,7.3,2.38,1088
PIT,19,28.7,4.75,67,95,.414,4.42,162,162,158,4,14,3,35,1436.0,1456,769,706,162,612,65,958,65,4,53,6264,95,4.57,1.440,9.1,1.0,3.8,6.0,1.57,1187
SDP,23,31.0,4.48,82,80,.506,4.13,162,162,158,4,8,3,45,1455.1,1452,726,668,146,503,45,1133,46,3,36,6253,94,3.90,1.343,9.0,0.9,3.1,7.0,2.25,1161
SEA,21,31.4,4.64,69,93,.426,4.49,162,162,156,6,7,2,39,1427.2,1483,751,712,179,496,32,892,57,4,36,6172,94,4.56,1.386,9.3,1.1,3.1,5.6,1.80,1138
SFG,24,30.0,4.60,75,87,.463,4.33,162,162,158,4,8,0,46,1444.1,1456,745,695,151,592,42,972,42,3,38,6280,99,4.35,1.418,9.1,0.9,3.7,6.1,1.64,1202
STL,20,29.7,3.91,100,62,.617,3.49,162,162,147,15,14,7,48,1445.2,1399,634,560,153,443,27,974,60,5,41,6047,122,4.09,1.274,8.7,1.0,2.8,6.1,2.20,1076
TBD,21,27.4,5.78,67,95,.414,5.39,162,162,161,1,4,0,43,1421.2,1570,936,851,194,615,41,949,64,5,53,6384,81,4.89,1.537,9.9,1.2,3.9,6.0,1.54,1183
TEX,30,30.5,5.30,79,83,.488,4.96,162,162,160,2,6,1,46,1440.0,1589,858,794,159,522,31,932,60,4,44,6371,93,4.37,1.466,9.9,1.0,3.3,5.8,1.79,1193
TOR,18,28.2,4.35,80,82,.494,4.06,162,162,153,9,8,3,35,1447.0,1475,705,653,185,444,29,958,68,5,39,6166,110,4.42,1.326,9.2,1.2,2.8,6.0,2.16,1120
WSN,25,28.9,4.15,81,81,.500,3.87,162,162,158,4,9,1,51,1458.0,1456,673,627,140,539,77,997,72,8,49,6286,106,4.16,1.368,9.0,0.9,3.3,6.2,1.85,1239
