Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
LAD,22,29.5,4.00,84,78,.519,3.68,162,162,157,5,11,4,35,1447.1,1381,648,591,123,480,58,1205,48,4,47,6127,114,3.67,1.286,8.6,0.8,3.0,7.5,2.51,1137
MIL,20,29.9,4.25,90,72,.556,3.85,162,162,150,12,10,6,45,1455.2,1415,689,623,175,528,32,1110,42,5,53,6209,109,4.34,1.335,8.7,1.1,3.3,6.9,2.10,1153
MIN,19,27.5,4.57,88,75,.540,4.16,163,163,158,5,10,2,42,1459.0,1568,745,675,183,406,38,995,31,4,45,6221,101,4.30,1.353,9.7,1.1,2.5,6.1,2.45,1099
NYM,24,29.0,4.41,89,73,.549,4.07,162,162,157,5,12,2,43,1464.1,1415,715,662,163,590,53,1181,70,4,55,6338,104,4.32,1.369,8.7,1.0,3.6,7.3,2.00,1230
NYY,27,30.6,4.49,89,73,.549,4.28,162,162,161,1,11,0,42,1441.2,1478,727,685,143,489,37,1141,51,5,55,6175,103,3.96,1.364,9.2,0.9,3.1,7.1,2.33,1123
OAK,24,26.5,4.29,75,86,.466,4.01,161,161,157,4,7,1,33,1435.0,1364,690,640,135,576,45,1061,54,4,30,6112,103,4.19,1.352,8.6,0.8,3.6,6.7,1.84,1117
PHI,18,30.6,4.20,92,70,.568,3.88,162,162,158,4,11,3,47,1449.2,1444,680,625,160,533,64,1081,57,3,34,6229,112,4.30,1.364,9.0,1.0,3.3,6.7,2.03,1200
PIT,26,26.5,5.46,67,95,.414,5.08,162,162,159,3,7,2,34,1455.0,1631,884,822,176,657,31,963,49,9,64,6528,82,4.84,1.573,10.1,1.1,4.1,6.0,1.47,1279
SDP,32,30.2,4.72,63,99,.389,4.41,162,162,159,3,6,0,30,1458.1,1466,764,714,165,561,61,1100,38,4,43,6286,87,4.33,1.390,9.0,1.0,3.5,6.8,1.96,1147
SEA,22,28.5,5.01,61,101,.377,4.73,162,162,158,4,4,0,36,1435.1,1544,811,754,161,626,37,1016,53,5,60,6368,90,4.59,1.512,9.7,1.0,3.9,6.4,1.62,1251
SFG,20,27.1,4.69,72,90,.444,4.38,162,162,158,4,12,2,41,1442.0,1416,759,701,147,652,59,1240,70,7,77,6341,101,4.24,1.434,8.8,0.9,4.1,7.7,1.90,1256
STL,24,30.2,4.48,86,76,.531,4.19,162,162,160,2,7,1,42,1454.0,1517,725,677,163,496,21,957,51,2,50,6264,101,4.40,1.384,9.4,1.0,3.1,5.9,1.93,1177
TBR,21,27.5,4.14,97,65,.599,3.82,162,162,155,7,12,5,52,1457.2,1349,671,618,166,526,29,1143,46,3,52,6145,116,4.22,1.286,8.3,1.0,3.2,7.1,2.17,1101
TEX,30,28.1,5.97,79,83,.488,5.37,162,162,156,6,8,2,36,1442.0,1647,967,860,176,625,44,963,72,9,62,6506,83,4.83,1.576,10.3,1.1,3.9,6.0,1.54,1213
TOR,19,28.6,3.77,86,76,.531,3.49,162,162,147,15,13,5,44,1446.2,1330,610,561,134,467,42,1184,67,4,51,6067,122,3.81,1.242,8.3,0.8,2.9,7.4,2.54,1117
WSN,25,27.3,5.12,59,102,.366,4.66,161,161,159,2,8,0,28,1434.0,1496,825,742,190,588,44,1063,51,8,59,6310,93,4.71,1.453,9.4,1.2,3.7,6.7,1.81,1183
LgAvg,22,28.6,4.65,81,81,.500,4.32,162,162,157,5,,,39,1445,1466,753,693,163,545,44,1096,56,5,53,6254,101,4.32,1.391,9.1,1.0,3.4,6.8,2.01,1166
,651,28.6,4.65,2428,2428,.500,4.32,4856,4856,4720,136,,,1184,43357.2,43972,22585,20790,4878,16337,1310,32884,1672,153,1576,187631,101,4.32,1.391,9.1,1.0,3.4,6.8,2.01,34973
