Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
ARI,20,29.4,4.36,82,80,.506,3.98,162,162,156,6,9,2,39,1434.2,1403,706,635,147,451,41,1229,68,3,59,6119,116,3.84,1.292,8.8,0.9,2.8,7.7,2.73,1109
ATL,28,28.6,4.80,72,90,.444,4.46,162,162,160,2,7,1,26,1440.2,1439,778,714,156,586,80,1076,42,5,42,6244,94,4.35,1.406,9.0,1.0,3.7,6.7,1.84,1144
BAL,26,27.9,5.40,68,93,.422,5.13,161,161,157,4,4,1,35,1422.0,1538,869,810,184,687,44,922,80,7,72,6414,87,5.14,1.565,9.7,1.2,4.3,5.8,1.34,1279
BOS,23,29.2,4.28,95,67,.586,4.01,162,162,157,5,16,2,47,1446.1,1369,694,645,147,548,17,1185,68,2,43,6180,116,4.09,1.325,8.5,0.9,3.4,7.4,2.16,1147
CHC,23,28.9,4.17,97,64,.602,3.87,161,161,159,2,8,1,44,1450.2,1329,671,624,160,548,45,1264,65,7,48,6194,118,4.09,1.294,8.2,1.0,3.4,7.8,2.31,1171
CHW,19,28.3,4.47,89,74,.546,4.06,163,163,159,4,10,0,34,1457.2,1471,729,658,156,460,42,1147,48,3,54,6218,112,4.00,1.325,9.1,1.0,2.8,7.1,2.49,1116
CIN,23,28.7,4.94,74,88,.457,4.55,162,162,160,2,6,1,34,1442.1,1542,800,729,201,557,40,1227,67,7,52,6352,97,4.54,1.455,9.6,1.3,3.5,7.7,2.20,1225
CLE,28,28.6,4.70,81,81,.500,4.45,162,162,152,10,13,5,31,1437.0,1530,761,711,170,444,28,986,51,5,44,6164,95,4.33,1.374,9.6,1.1,2.8,6.2,2.22,1092
COL,26,28.5,5.07,74,88,.457,4.77,162,162,159,3,8,1,36,1446.0,1547,822,766,148,562,49,1041,53,7,61,6338,99,4.30,1.459,9.6,0.9,3.5,6.5,1.85,1178
DET,25,29.9,5.29,74,88,.457,4.90,162,162,161,1,2,0,34,1445.0,1541,857,786,172,644,63,991,68,7,65,6411,91,4.79,1.512,9.6,1.1,4.0,6.2,1.54,1219
FLA,22,26.6,4.76,84,77,.522,4.43,161,161,159,2,8,1,36,1435.1,1421,767,707,161,586,66,1127,58,4,59,6271,98,4.37,1.398,8.9,1.0,3.7,7.1,1.92,1198
HOU,20,30.9,4.61,86,75,.534,4.36,161,161,157,4,13,3,48,1425.1,1453,743,691,197,492,53,1095,50,9,22,6125,96,4.53,1.365,9.2,1.2,3.1,6.9,2.23,1106
KCR,25,27.6,4.82,75,87,.463,4.48,162,162,160,2,8,0,44,1445.2,1473,781,720,159,515,15,1085,41,5,68,6214,96,4.21,1.375,9.2,1.0,3.2,6.8,2.11,1096
LAA,19,27.6,4.30,100,62,.617,3.99,162,162,155,7,10,1,66,1451.1,1455,697,644,160,457,32,1106,63,2,50,6161,112,4.12,1.317,9.0,1.0,2.8,6.9,2.42,1110
