Rk,Tm,Lg,G,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,ATL,NL,162,101,61,.624,4.9,3.6,1.3,0.0,1.3,103-59,-2,8-7,50-31,51-30,10-10,33-20,74-47,27-14,36-38,65-23
2,BAL,AL,162,98,64,.605,5.0,4.2,0.8,-0.1,0.8,94-68,4,8-7,46-35,52-29,10-6,28-22,65-45,33-19,32-22,66-42
3,NYY,AL,162,96,66,.593,5.5,4.2,1.3,-0.1,1.2,100-62,-4,5-10,47-33,49-33,9-9,23-16,72-40,24-26,25-29,71-37
4,FLA,NL,162,92,70,.568,4.6,4.1,0.4,0.0,0.5,88-74,4,12-3,52-29,40-41,9-5,32-22,74-55,18-15,40-34,52-36
5,SFG,NL,162,90,72,.556,4.8,4.9,-0.1,0.0,0.0,80-82,10,10-6,48-33,42-39,11-3,23-17,69-52,21-20,46-30,44-42
6,SEA,AL,162,90,72,.556,5.7,5.1,0.6,-0.1,0.5,89-73,1,7-9,45-36,45-36,4-7,25-21,66-54,24-18,31-26,59-46
7,LAD,NL,162,88,74,.543,4.6,4.0,0.6,0.0,0.6,91-71,-3,9-7,47-34,41-40,9-8,19-24,62-49,26-25,37-39,51-35
8,NYM,NL,162,88,74,.543,4.8,4.4,0.4,0.0,0.5,88-74,0,7-8,50-31,38-43,11-7,21-27,57-56,31-18,35-39,53-35
9,CLE,AL,161,86,75,.534,5.4,5.1,0.3,-0.1,0.3,85-76,1,9-6,44-37,42-38,4-5,19-19,64-56,22-19,19-28,67-47
10,HOU,NL,162,84,78,.518,4.8,4.1,0.7,-0.1,0.7,93-69,-9,4-11,46-35,38-43,8-11,19-25,70-51,14-27,32-37,52-41
11,ANA,AL,162,84,78,.518,5.1,4.9,0.2,0.0,0.2,84-78,0,4-12,46-36,38-42,5-8,27-25,66-55,18-23,23-34,61-44
12,COL,NL,162,83,79,.512,5.7,5.6,0.1,0.0,0.1,82-80,1,9-7,47-34,36-45,4-5,19-17,63-60,20-19,38-38,45-41
13,CHW,AL,161,80,81,.497,4.8,5.2,-0.3,0.0,-0.4,76-85,4,8-7,45-36,35-45,9-4,22-18,61-58,19-23,26-33,54-48
14,PIT,NL,162,79,83,.488,4.5,4.7,-0.2,0.0,-0.2,78-84,1,7-8,43-38,36-45,6-6,22-21,58-69,21-14,38-43,41-40
15,DET,AL,162,79,83,.488,4.8,4.9,0.0,0.0,0.0,80-82,-1,8-7,42-39,37-44,8-4,17-19,62-56,17-27,29-37,50-46
16,MIL,AL,161,78,83,.484,4.2,4.6,-0.4,0.0,-0.4,74-87,4,8-7,47-33,31-50,4-5,24-32,55-54,23-29,25-34,53-49
17,MON,NL,162,78,84,.481,4.3,4.6,-0.3,0.1,-0.2,76-86,2,12-3,45-36,33-48,4-12,28-25,54-66,24-18,33-53,45-31
18,BOS,AL,162,78,84,.481,5.3,5.3,0.0,0.0,0.0,80-82,-2,6-9,39-42,39-42,6-10,24-20,64-56,14-28,32-34,46-50
19,TEX,AL,162,77,85,.475,5.0,5.1,-0.1,0.0,-0.1,80-82,-3,10-6,39-42,38-43,5-3,18-29,54-59,23-26,27-42,50-43
20,CIN,NL,162,76,86,.469,4.0,4.7,-0.7,0.0,-0.7,69-93,7,9-6,40-41,36-45,8-8,18-17,62-68,14-18,31-50,45-36
21,SDP,NL,162,76,86,.469,4.9,5.5,-0.6,0.1,-0.5,73-89,3,8-8,39-42,37-44,11-6,21-16,59-66,17-20,44-44,32-42
22,TOR,AL,162,76,86,.469,4.0,4.3,-0.2,0.0,-0.2,77-85,-1,4-11,42-39,34-47,5-9,29-30,52-58,24-28,25-41,51-45
23,STL,NL,162,73,89,.451,4.3,4.4,-0.1,0.0,-0.1,79-83,-6,8-7,41-40,32-49,6-11,20-33,52-72,21-17,33-48,40-41
24,MIN,AL,162,68,94,.420,4.8,5.3,-0.5,0.0,-0.6,73-89,-5,7-8,35-46,33-48,6-6,16-23,52-77,16-17,22-37,46-57
25,CHC,NL,162,68,94,.420,4.2,4.7,-0.4,0.0,-0.4,74-88,-6,9-6,42-39,26-55,3-8,24-26,50-74,18-20,26-55,42-39
26,PHI,NL,162,68,94,.420,4.1,5.2,-1.1,0.1,-0.9,64-98,4,5-10,38-43,30-51,5-6,23-20,56-66,12-28,34-52,34-42
27,KCR,AL,161,67,94,.416,4.6,5.1,-0.5,0.0,-0.5,74-87,-7,6-9,33-47,34-47,7-8,20-29,50-60,17-34,22-36,45-58
28,OAK,AL,162,65,97,.401,4.7,5.8,-1.1,0.1,-1.1,65-97,0,7-9,35-46,30-51,9-6,22-23,48-71,17-26,22-47,43-50
,Avg,,,80,80,.500,4.8,4.8,,,,81-80,,7-7,43-37,37-43,7-7,22-22,60-58,20-22,30-38,50-42
