Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
FLA,21,25.9,4.77,78,84,.481,4.37,162,162,156,6,6,2,41,1433.1,1465,772,696,166,622,58,1088,74,4,47,6294,99,4.59,1.456,9.2,1.0,3.9,6.8,1.75,1222
HOU,19,29.8,4.44,82,80,.506,4.08,162,162,157,5,12,2,42,1468.2,1425,719,666,182,480,65,1160,54,2,44,6219,109,4.27,1.297,8.7,1.1,2.9,7.1,2.42,1094
KCR,31,27.7,5.99,62,100,.383,5.65,162,162,159,3,5,2,35,1426.1,1648,971,896,213,637,45,904,60,9,85,6434,83,5.29,1.602,10.4,1.3,4.0,5.7,1.42,1184
LAA,18,27.9,4.52,89,73,.549,4.04,162,162,157,5,12,3,50,1452.2,1410,732,652,158,471,27,1164,50,3,85,6149,112,4.03,1.295,8.7,1.0,2.9,7.2,2.47,1059
LAD,22,30.4,4.64,88,74,.543,4.23,162,162,161,1,10,0,40,1460.1,1524,751,686,152,492,40,1068,41,8,54,6289,107,4.13,1.381,9.4,0.9,3.0,6.6,2.17,1157
MIL,27,28.3,5.14,75,87,.463,4.82,162,162,155,7,8,5,43,1425.2,1454,833,763,177,514,34,1145,74,2,57,6210,95,4.39,1.380,9.2,1.1,3.2,7.2,2.23,1100
MIN,17,26.9,4.22,96,66,.593,3.95,162,162,161,1,6,0,40,1439.1,1490,683,632,182,356,25,1164,36,3,40,6066,114,3.99,1.283,9.3,1.1,2.2,7.3,3.27,1065
NYM,27,32.2,4.51,97,65,.599,4.14,162,162,157,5,12,3,43,1461.1,1402,731,673,180,527,39,1161,62,5,37,6240,106,4.37,1.320,8.6,1.1,3.2,7.2,2.20,1125
NYY,25,32.5,4.73,97,65,.599,4.41,162,162,157,5,8,1,43,1443.2,1463,767,708,170,496,41,1019,59,7,46,6215,103,4.42,1.357,9.1,1.1,3.1,6.4,2.05,1117
OAK,21,27.0,4.49,93,69,.574,4.21,162,162,157,5,11,2,54,1451.2,1525,727,679,162,529,47,1003,55,4,43,6279,106,4.42,1.415,9.5,1.0,3.3,6.2,1.90,1197
PHI,23,30.5,5.01,85,77,.525,4.60,162,162,158,4,6,2,42,1460.1,1561,812,747,211,512,63,1138,62,4,58,6366,102,4.65,1.420,9.6,1.3,3.2,7.0,2.22,1173
PIT,22,27.0,4.92,67,95,.414,4.52,162,162,160,2,10,1,39,1435.0,1545,797,720,156,620,62,1060,70,6,61,6354,98,4.53,1.509,9.7,1.0,3.9,6.6,1.71,1252
SDP,22,30.6,4.19,88,74,.543,3.87,162,162,158,4,11,2,50,1463.2,1385,679,629,176,468,63,1097,50,4,34,6175,105,4.27,1.266,8.5,1.1,2.9,6.7,2.34,1105
SEA,25,28.0,4.89,78,84,.481,4.60,162,162,156,6,6,2,47,1446.2,1500,792,739,183,560,50,1067,53,6,47,6294,97,4.59,1.424,9.3,1.1,3.5,6.6,1.91,1162
SFG,21,28.7,4.91,76,85,.472,4.63,161,161,154,7,9,3,37,1429.2,1422,790,735,153,584,37,992,70,7,50,6225,97,4.52,1.403,9.0,1.0,3.7,6.2,1.70,1146
STL,19,28.6,4.73,83,78,.516,4.54,161,161,155,6,9,3,38,1429.2,1475,762,721,193,504,35,970,80,3,35,6196,98,4.77,1.384,9.3,1.2,3.2,6.1,1.92,1145
TBD,25,27.0,5.28,61,101,.377,4.96,162,162,159,3,7,2,33,1420.1,1600,856,782,180,606,39,979,63,8,70,6374,92,4.83,1.553,10.1,1.1,3.8,6.2,1.62,1257
TEX,26,28.3,4.84,80,82,.494,4.60,162,162,159,3,8,1,42,1431.1,1558,784,731,162,496,18,972,66,4,34,6237,101,4.44,1.435,9.8,1.0,3.1,6.1,1.96,1159
TOR,21,28.1,4.65,87,75,.537,4.37,162,162,156,6,6,1,42,1428.1,1447,754,694,185,504,56,1076,59,13,53,6151,105,4.51,1.366,9.1,1.2,3.2,6.8,2.13,1112
WSN,29,28.9,5.38,71,91,.438,5.03,162,162,161,1,3,1,32,1436.1,1535,872,803,193,584,93,960,92,10,47,6424,85,4.97,1.475,9.6,1.2,3.7,6.0,1.64,1243
LgAvg,21,28.8,4.86,81,81,.500,4.52,162,162,157,5,,,40,1442,1502,787,724,180,528,47,1055,61,5,51,6269,100,4.53,1.408,9.4,1.1,3.3,6.6,2.00,1157
,635,28.8,4.86,2429,2429,.500,4.52,4858,4858,4714,144,,,1201,43258.0,45073,23599,21722,5386,15847,1410,31655,1817,145,1522,188071,100,4.53,1.408,9.4,1.1,3.3,6.6,2.00,34698
