Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
ARI,25,28.8,4.86,76,86,.469,4.48,162,162,154,8,9,4,34,1459.2,1503,788,727,168,536,44,1115,61,4,53,6341,106,4.34,1.397,9.3,1.0,3.3,6.9,2.08,1174
ATL,26,29.4,4.97,79,83,.488,4.60,162,162,156,6,6,2,38,1441.1,1529,805,736,183,572,69,1049,55,2,39,6350,97,4.65,1.458,9.5,1.1,3.6,6.6,1.83,1221
BAL,24,27.9,5.55,70,92,.432,5.35,162,162,157,5,9,1,35,1419.0,1579,899,843,216,613,26,1016,48,4,59,6327,85,5.09,1.545,10.0,1.4,3.9,6.4,1.66,1171
BOS,28,31.1,5.09,86,76,.531,4.83,162,162,159,3,6,1,46,1441.1,1570,825,773,181,509,25,1070,68,3,52,6292,99,4.50,1.442,9.8,1.1,3.2,6.7,2.10,1143
CHC,23,28.0,5.15,66,96,.407,4.74,162,162,160,2,7,1,29,1439.0,1396,834,758,210,687,44,1250,67,4,68,6366,98,4.88,1.448,8.7,1.3,4.3,7.8,1.82,1215
CHW,18,27.9,4.90,90,72,.556,4.61,162,162,157,5,11,2,46,1449.0,1534,794,743,200,433,59,1012,58,1,51,6232,103,4.56,1.357,9.5,1.2,2.7,6.3,2.34,1091
CIN,29,29.5,4.94,80,82,.494,4.51,162,162,153,9,10,3,36,1445.2,1576,801,725,213,464,55,1053,60,9,40,6319,104,4.69,1.411,9.8,1.3,2.9,6.6,2.27,1181
CLE,23,28.6,4.83,78,84,.481,4.41,162,162,149,13,13,6,24,1423.1,1583,782,698,166,429,35,948,51,2,46,6190,101,4.34,1.414,10.0,1.0,2.7,6.0,2.21,1138
COL,24,28.8,5.01,76,86,.469,4.66,162,162,157,5,8,4,34,1447.1,1549,812,749,155,553,81,952,66,2,43,6318,106,4.51,1.452,9.6,1.0,3.4,5.9,1.72,1164
DET,19,28.8,4.17,95,67,.586,3.84,162,162,159,3,16,1,46,1448.0,1420,675,618,160,489,35,1003,53,2,44,6145,118,4.32,1.318,8.8,1.0,3.0,6.2,2.05,1126
