Rk,Tm,Lg,G,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,LAA,AL,162,100,62,.617,4.7,4.3,0.4,0.3,0.7,88-74,12,10-8,50-31,50-31,3-5,31-21,67-46,33-16,46-30,54-32
2,CHC,NL,161,97,64,.603,5.3,4.2,1.1,-0.4,0.8,98-63,-1,6-9,55-26,42-38,10-6,24-22,66-48,31-16,51-42,46-22
3,TBR,AL,162,97,65,.599,4.8,4.1,0.6,0.5,1.1,92-70,5,12-6,57-24,40-41,10-6,29-18,72-41,25-24,55-46,42-19
4,BOS,AL,162,95,67,.586,5.2,4.3,0.9,0.4,1.3,95-67,0,11-7,56-25,39-42,8-3,22-23,70-54,25-13,49-49,46-18
5,PHI,NL,162,92,70,.568,4.9,4.2,0.7,-0.4,0.4,93-69,-1,4-11,48-33,44-37,6-7,27-23,60-48,32-22,43-46,49-24
6,MIL,NL,162,90,72,.556,4.6,4.3,0.4,-0.3,0.1,87-75,3,7-8,49-32,41-40,12-8,28-17,57-52,33-20,41-48,49-24
7,NYM,NL,162,89,73,.549,4.9,4.4,0.5,-0.4,0.1,89-73,0,9-6,48-33,41-40,9-9,16-19,55-52,34-21,46-38,43-35
8,NYY,AL,162,89,73,.549,4.9,4.5,0.4,0.5,0.8,87-75,2,10-8,48-33,41-40,7-3,27-18,65-51,24-22,51-46,38-27
9,CHW,AL,163,89,74,.546,5.0,4.5,0.5,0.4,0.9,89-74,0,12-6,54-28,35-46,8-4,22-17,58-54,31-20,40-48,49-26
10,MIN,AL,163,88,75,.540,5.1,4.6,0.5,0.3,0.8,89-74,-1,14-4,53-28,35-47,8-10,26-26,59-51,29-24,40-43,48-32
11,HOU,NL,161,86,75,.534,4.4,4.6,-0.2,-0.2,-0.4,77-84,9,7-11,47-33,39-42,5-3,21-21,60-55,26-20,43-46,43-29
12,STL,NL,162,86,76,.531,4.8,4.5,0.3,-0.3,0.0,86-76,0,7-8,46-35,40-41,6-12,24-28,59-47,27-29,43-44,43-32
13,TOR,AL,162,86,76,.531,4.4,3.8,0.6,0.4,1.1,93-69,-7,8-10,47-34,39-42,6-9,24-32,66-53,20-23,45-48,41-28
14,FLA,NL,161,84,77,.522,4.8,4.8,0.0,-0.3,-0.3,81-80,3,5-10,45-36,39-41,9-5,24-19,61-56,23-21,43-41,41-36
15,LAD,NL,162,84,78,.518,4.3,4.0,0.3,-0.5,-0.1,87-75,-3,5-10,48-33,36-45,6-12,19-24,53-57,31-21,37-41,47-37
16,ARI,NL,162,82,80,.506,4.4,4.4,0.1,-0.5,-0.4,82-80,0,6-9,48-33,34-47,4-6,22-23,54-60,28-20,28-44,54-36
17,CLE,AL,162,81,81,.500,5.0,4.7,0.3,0.3,0.6,85-77,-4,6-12,45-36,36-45,5-9,14-17,60-58,21-23,37-38,44-43
18,TEX,AL,162,79,83,.488,5.6,6.0,-0.4,0.3,-0.1,76-86,3,10-8,40-41,39-42,5-6,28-18,58-52,21-31,37-54,42-29
19,OAK,AL,161,75,86,.466,4.0,4.3,-0.3,0.3,0.1,76-85,-1,10-8,43-38,32-48,8-7,25-24,50-58,25-28,39-52,36-34
20,KCR,AL,162,75,87,.463,4.3,4.8,-0.6,0.4,-0.1,72-90,3,13-5,38-43,37-44,7-6,20-18,39-63,36-24,41-62,34-25
21,COL,NL,162,74,88,.457,4.6,5.1,-0.5,-0.4,-0.9,74-88,0,7-8,43-38,31-50,6-6,25-20,48-67,26-21,37-56,37-32
22,DET,AL,162,74,88,.457,5.1,5.3,-0.2,0.4,0.1,78-84,-4,13-5,40-41,34-47,3-9,16-25,48-66,26-22,41-59,33-29
23,CIN,NL,162,74,88,.457,4.3,4.9,-0.6,-0.2,-0.8,72-90,2,9-6,43-38,31-50,9-8,28-20,44-63,30-25,51-64,23-24
24,ATL,NL,162,72,90,.444,4.6,4.8,-0.2,-0.3,-0.5,79-83,-7,8-7,43-38,29-52,3-10,11-30,52-57,20-33,45-57,27-33
25,SFG,NL,162,72,90,.444,4.0,4.7,-0.7,-0.4,-1.1,68-94,4,6-12,37-44,35-46,10-5,31-21,56-59,16-31,33-55,39-35
26,BAL,AL,161,68,93,.422,4.9,5.4,-0.5,0.5,0.0,73-88,-5,11-7,37-43,31-50,5-6,21-29,52-61,16-32,42-71,26-22
27,PIT,NL,162,67,95,.414,4.5,5.5,-0.9,-0.2,-1.1,67-95,0,6-9,39-42,28-53,12-6,22-21,53-67,14-28,40-70,27-25
28,SDP,NL,162,63,99,.389,3.9,4.7,-0.8,-0.4,-1.2,68-94,-5,3-15,35-46,28-53,6-8,16-28,43-62,20-37,34-57,29-42
29,SEA,AL,162,61,101,.377,4.1,5.0,-0.9,0.3,-0.5,67-95,-6,9-9,35-46,26-55,5-7,18-30,40-70,21-31,31-52,30-49
30,WSN,NL,161,59,102,.366,4.0,5.1,-1.1,-0.2,-1.4,62-99,-3,8-10,34-46,25-56,7-7,20-29,37-66,22-36,29-68,30-34
,Avg,,,80,80,.500,4.6,4.7,,,,81-80,,8-8,45-35,35-45,6-6,22-22,55-56,25-24,41-50,39-30
