Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
ANA,19,29.0,4.59,77,85,.475,4.28,162,162,157,5,9,2,39,1431.1,1444,743,680,190,486,38,980,76,3,53,6161,103,4.57,1.348,9.1,1.2,3.1,6.2,2.02,1124
ARI,22,29.2,4.23,84,78,.519,3.84,162,162,155,7,11,5,42,1455.0,1379,685,621,150,526,53,1291,72,9,52,6230,122,3.83,1.309,8.5,0.9,3.3,8.0,2.45,1180
ATL,17,31.1,4.57,101,61,.623,4.10,162,162,158,4,7,1,51,1456.1,1425,740,663,147,555,69,992,42,4,53,6247,105,4.21,1.360,8.8,0.9,3.4,6.1,1.79,1138
BAL,20,29.2,5.03,71,91,.438,4.76,163,163,154,9,3,1,41,1449.2,1579,820,767,198,526,43,981,80,4,42,6366,95,4.71,1.452,9.8,1.2,3.3,6.1,1.87,1197
BOS,26,31.2,4.99,95,67,.586,4.48,162,162,157,5,6,0,36,1464.2,1503,809,729,153,488,41,1141,76,0,44,6355,104,3.99,1.359,9.2,0.9,3.0,7.0,2.34,1152
CHC,17,28.2,4.22,88,74,.543,3.83,162,162,149,13,14,6,36,1456.1,1304,683,619,143,617,36,1404,71,3,63,6227,114,3.80,1.319,8.1,0.9,3.8,8.7,2.28,1175
CHW,20,27.9,4.41,86,76,.531,4.17,162,162,150,12,4,0,36,1431.0,1364,715,663,162,518,30,1056,53,4,39,6067,111,4.22,1.315,8.6,1.0,3.3,6.6,2.04,1059
CIN,30,28.0,5.47,69,93,.426,5.09,162,162,158,4,5,1,38,1446.1,1578,886,818,209,590,61,932,48,3,46,6423,81,4.94,1.499,9.8,1.3,3.7,5.8,1.58,1198
CLE,29,26.3,4.80,68,94,.420,4.21,162,162,157,5,7,2,34,1459.1,1477,778,682,179,501,37,943,64,7,49,6254,105,4.49,1.355,9.1,1.1,3.1,5.8,1.88,1098
COL,23,28.0,5.51,74,88,.457,5.20,162,162,159,3,4,0,34,1420.0,1629,892,821,200,552,51,866,84,8,48,6364,95,4.99,1.536,10.3,1.3,3.5,5.5,1.57,1212
DET,20,25.3,5.73,43,119,.265,5.30,162,162,159,3,5,0,27,1438.2,1616,928,847,195,557,35,764,56,5,52,6376,81,5.01,1.510,10.1,1.2,3.5,4.8,1.37,1132
FLA,22,26.3,4.27,91,71,.562,4.04,162,162,155,7,11,2,36,1445.1,1415,692,648,128,530,40,1132,40,11,51,6165,105,3.80,1.346,8.8,0.8,3.3,7.0,2.14,1137
HOU,23,27.6,4.18,87,75,.537,3.86,162,162,161,1,5,0,50,1450.0,1350,677,622,161,565,53,1139,74,4,40,6176,114,4.23,1.321,8.4,1.0,3.5,7.1,2.02,1149
KCR,29,28.0,5.35,83,79,.512,5.05,162,162,155,7,10,3,36,1438.2,1569,867,808,190,566,33,865,66,9,60,6366,97,4.86,1.484,9.8,1.2,3.5,5.4,1.53,1183
