Rk,Tm,Lg,G,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,ATL,NL,162,101,61,.624,5.6,4.6,1.0,0.0,1.1,96-66,5,10-5,55-26,46-35,7-10,17-25,77-48,24-13,57-43,44-18
2,NYY,AL,163,101,61,.624,5.4,4.4,1.0,0.0,1.0,96-66,5,13-5,50-32,51-29,6-6,22-14,75-50,26-11,47-37,54-24
3,SFG,NL,161,100,61,.621,4.7,4.0,0.7,-0.1,0.6,93-68,7,10-8,57-24,43-37,9-3,28-12,74-50,26-11,57-39,43-22
4,OAK,AL,162,96,66,.593,4.7,4.0,0.8,0.0,0.8,94-68,2,9-9,57-24,39-42,10-4,25-20,70-47,26-19,44-43,52-23
5,BOS,AL,162,95,67,.586,5.9,5.0,0.9,0.0,0.9,94-68,1,11-7,53-28,42-39,11-5,26-16,69-40,26-27,46-39,49-28
6,SEA,AL,162,93,69,.574,4.9,3.9,1.0,-0.1,0.9,97-65,-4,10-8,50-31,43-38,6-6,16-15,60-53,33-16,45-33,48-36
7,FLA,NL,162,91,71,.562,4.6,4.3,0.4,0.1,0.5,87-75,4,9-6,53-28,38-43,6-4,30-23,64-60,27-11,53-48,38-23
8,MIN,AL,162,90,72,.556,4.9,4.7,0.3,-0.3,0.0,85-77,5,10-8,48-33,42-39,9-8,22-20,65-43,25-29,39-42,51-30
9,CHC,NL,162,88,74,.543,4.5,4.2,0.3,-0.1,0.2,85-77,3,9-9,44-37,44-37,8-3,27-17,70-54,18-20,42-45,46-29
10,HOU,NL,162,87,75,.537,5.0,4.2,0.8,-0.1,0.7,94-68,-7,11-7,48-33,39-42,3-8,19-21,69-59,18-16,37-45,50-30
11,CHW,AL,162,86,76,.531,4.9,4.4,0.5,-0.2,0.2,88-74,-2,10-8,51-30,35-46,8-4,18-22,60-51,26-25,48-47,38-29
12,PHI,NL,162,86,76,.531,4.9,4.3,0.6,0.1,0.7,90-72,-4,8-7,49-32,37-44,10-3,20-18,72-59,14-17,54-49,32-27
13,TOR,AL,162,86,76,.531,5.5,5.1,0.4,0.0,0.4,87-75,-1,10-8,41-40,45-36,4-4,14-23,60-58,26-18,40-45,46-31
14,LAD,NL,162,85,77,.525,3.5,3.4,0.1,-0.1,0.0,83-79,2,11-7,46-35,39-42,6-10,26-23,61-61,24-16,41-47,44-30
15,STL,NL,162,85,77,.525,5.4,4.9,0.5,-0.1,0.4,88-74,-3,10-8,48-33,37-44,7-6,14-25,66-60,19-17,42-50,43-27
16,ARI,NL,162,84,78,.518,4.4,4.2,0.2,-0.1,0.1,84-78,0,11-4,45-36,39-42,8-8,30-25,57-57,27-21,43-48,41-30
17,KCR,AL,162,83,79,.512,5.2,5.4,-0.2,-0.2,-0.4,78-84,5,9-9,40-40,43-39,5-4,18-22,59-55,24-24,36-53,47-26
18,MON,NL,162,83,79,.512,4.4,4.4,0.0,0.2,0.2,80-82,3,9-9,52-29,31-50,9-8,22-24,62-59,21-20,44-62,39-17
19,ANA,AL,162,77,85,.475,4.5,4.6,0.0,0.1,0.0,80-82,-3,11-7,45-37,32-48,2-4,16-20,49-59,28-26,48-58,29-27
20,PIT,NL,162,75,87,.463,4.6,4.9,-0.3,0.0,-0.3,76-86,-1,5-7,39-42,36-45,5-5,24-27,55-62,20-25,41-61,34-26
21,COL,NL,162,74,88,.457,5.3,5.5,-0.2,-0.1,-0.3,78-84,-4,9-6,49-32,25-56,2-7,17-22,54-62,20-26,43-63,31-25
22,BAL,AL,163,71,91,.438,4.6,5.0,-0.5,0.2,-0.3,74-88,-3,5-13,40-40,31-51,4-10,21-22,54-61,17-30,40-70,31-21
23,TEX,AL,162,71,91,.438,5.1,6.0,-0.9,0.2,-0.7,69-93,2,4-14,43-38,28-53,5-7,17-20,50-56,21-35,41-65,30-26
24,CIN,NL,162,69,93,.426,4.3,5.5,-1.2,0.1,-1.1,63-99,6,7-5,35-46,34-47,15-5,30-21,53-64,16-29,43-61,26-32
25,CLE,AL,162,68,94,.420,4.3,4.8,-0.5,-0.2,-0.7,73-89,-5,6-12,38-43,30-51,7-11,15-25,49-63,19-31,36-64,32-30
26,MIL,NL,162,68,94,.420,4.4,5.4,-1.0,0.0,-0.9,66-96,2,5-7,31-50,37-44,6-10,25-21,52-72,16-22,35-68,33-26
27,NYM,NL,161,66,95,.410,4.0,4.7,-0.7,0.2,-0.4,69-92,-3,5-10,34-46,32-49,1-6,15-28,48-70,18-25,43-78,23-17
28,SDP,NL,162,64,98,.395,4.2,5.1,-0.9,0.1,-0.9,66-96,-2,8-10,35-46,29-52,8-8,21-20,47-68,17-30,46-67,18-31
29,TBD,AL,162,63,99,.389,4.4,5.3,-0.8,0.2,-0.7,68-94,-5,3-15,36-45,27-54,7-7,23-28,46-70,17-29,39-67,24-32
30,DET,AL,162,43,119,.265,3.6,5.7,-2.1,0.0,-2.1,49-113,-6,4-14,23-58,20-61,3-13,19-18,31-80,12-39,25-83,18-36
,Avg,,,80,80,.500,4.7,4.7,,,,81-80,,8-8,44-36,36-44,6-6,21-21,59-58,21-22,43-54,37-26
