Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
ARI,25,27.4,4.09,94,68,.580,3.80,162,162,157,5,12,1,58,1443.1,1414,662,609,159,442,16,1058,53,7,39,6102,104,4.02,1.286,8.8,1.0,2.8,6.6,2.39,1110
ATL,21,28.4,3.73,89,73,.549,3.48,162,162,159,3,16,2,52,1479.2,1332,605,572,125,521,73,1332,53,5,61,6220,110,3.49,1.252,8.1,0.8,3.2,8.1,2.56,1176
BAL,27,28.2,5.31,69,93,.426,4.89,162,162,159,3,7,1,32,1446.2,1568,860,786,210,535,42,1044,45,4,32,6332,86,4.67,1.454,9.8,1.3,3.3,6.5,1.95,1132
BOS,27,30.3,4.55,90,72,.556,4.20,162,162,160,2,13,1,36,1457.1,1366,737,680,156,540,11,1213,90,7,58,6242,103,4.05,1.308,8.4,1.0,3.3,7.5,2.25,1133
CHC,22,29.4,4.67,71,91,.438,4.33,162,162,158,4,5,1,40,1434.1,1439,756,690,162,580,45,1224,53,5,51,6262,90,4.11,1.408,9.0,1.0,3.6,7.7,2.11,1203
CHW,22,28.5,4.36,79,83,.488,4.10,162,162,156,6,14,4,42,1460.0,1463,706,665,147,439,50,1220,44,4,55,6188,106,3.66,1.303,9.0,0.9,2.7,7.5,2.78,1102
CIN,21,27.7,4.44,79,83,.488,4.16,162,162,158,4,5,2,39,1467.2,1414,720,678,185,539,47,1112,59,13,51,6259,95,4.37,1.331,8.7,1.1,3.3,6.8,2.06,1136
CLE,22,26.7,4.69,80,82,.494,4.23,162,162,160,2,4,0,38,1453.1,1482,760,683,153,463,34,1024,60,3,42,6235,93,4.06,1.338,9.2,0.9,2.9,6.3,2.21,1115
COL,29,27.7,4.78,73,89,.451,4.43,162,162,157,5,7,2,41,1447.2,1471,774,713,176,522,47,1118,48,7,65,6215,103,4.24,1.377,9.1,1.1,3.2,7.0,2.14,1098
DET,26,27.8,4.39,95,67,.586,4.04,162,162,158,4,14,2,52,1440.0,1406,711,647,149,492,34,1115,52,5,69,6108,103,3.95,1.318,8.8,0.9,3.1,7.0,2.27,1077
FLA,22,28.0,4.33,72,90,.444,3.95,162,162,155,7,11,4,40,1459.2,1403,702,640,149,500,72,1218,37,10,43,6200,99,3.79,1.304,8.7,0.9,3.1,7.5,2.44,1119
HOU,23,27.2,4.91,56,106,.346,4.51,162,162,160,2,6,0,25,1435.0,1477,796,719,188,560,59,1191,53,9,39,6268,84,4.35,1.420,9.3,1.2,3.5,7.5,2.13,1167
KCR,23,26.4,4.70,71,91,.438,4.44,162,162,160,2,6,0,37,1451.1,1487,762,716,163,557,42,1080,58,7,69,6280,92,4.27,1.408,9.2,1.0,3.5,6.7,1.94,1164
LAA,21,28.4,3.91,86,76,.531,3.57,162,162,150,12,11,6,39,1465.0,1388,633,581,142,476,34,1058,36,4,55,6124,106,3.89,1.272,8.5,0.9,2.9,6.5,2.22,1096
