Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
ANA,18,28.9,4.51,75,87,.463,4.20,162,162,156,6,1,0,43,1437.2,1452,730,671,168,525,47,947,64,2,46,6195,107,4.48,1.375,9.1,1.1,3.3,5.9,1.80,1152
ARI,22,30.9,4.18,92,70,.568,3.87,162,162,150,12,13,5,34,1459.2,1352,677,627,195,461,30,1297,59,6,45,6090,121,4.08,1.242,8.3,1.2,2.8,8.0,2.81,1034
ATL,23,31.1,3.97,88,74,.543,3.59,162,162,157,5,13,5,41,1447.1,1363,643,578,153,499,77,1133,33,8,41,6089,124,3.96,1.287,8.5,1.0,3.1,7.0,2.27,1104
BAL,22,27.6,5.12,63,98,.391,4.67,162,162,152,10,6,2,31,1432.1,1504,829,744,194,528,28,938,74,5,37,6273,92,4.76,1.419,9.5,1.2,3.3,5.9,1.78,1147
BOS,23,30.9,4.63,82,79,.509,4.15,161,161,158,3,9,2,48,1448.0,1412,745,667,146,544,50,1259,93,7,54,6272,108,3.94,1.351,8.8,0.9,3.4,7.8,2.31,1183
CHC,20,29.8,4.33,88,74,.543,4.03,162,162,154,8,6,2,41,1437.0,1357,701,643,164,550,43,1344,50,5,48,6159,103,3.91,1.327,8.5,1.0,3.4,8.4,2.44,1147
CHW,21,26.2,4.91,83,79,.512,4.55,162,162,154,8,9,3,51,1433.1,1465,795,725,181,500,38,921,88,5,57,6200,102,4.64,1.371,9.2,1.1,3.1,5.8,1.84,1105
CIN,25,27.4,5.25,66,96,.407,4.77,162,162,160,2,2,1,35,1442.2,1572,850,765,198,515,46,943,48,4,53,6324,96,4.70,1.447,9.8,1.2,3.2,5.9,1.83,1146
CLE,24,29.1,5.07,91,71,.562,4.64,162,162,159,3,4,0,42,1446.2,1512,821,746,148,573,44,1218,49,11,58,6312,97,3.98,1.441,9.4,0.9,3.6,7.6,2.13,1150
COL,26,28.7,5.59,73,89,.451,5.29,162,162,154,8,8,4,26,1430.0,1522,906,841,239,598,71,1058,64,1,38,6306,101,5.13,1.483,9.6,1.5,3.8,6.7,1.77,1110
DET,22,28.1,5.41,66,96,.407,5.01,162,162,146,16,2,1,34,1429.1,1624,876,795,180,553,56,859,73,4,40,6361,86,4.80,1.523,10.2,1.1,3.5,5.4,1.55,1197
FLA,23,26.5,4.59,76,86,.469,4.32,162,162,157,5,11,3,32,1438.0,1397,744,691,151,617,53,1119,70,3,40,6227,98,4.29,1.401,8.7,0.9,3.9,7.0,1.81,1169
