Rk,Tm,Lg,G,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,BOS,AL,162,97,65,.599,5.3,4.0,1.2,0.1,1.3,100-62,-3,14-6,53-28,44-37,10-6,21-21,65-43,32-22,53-43,44-22
2,STL,NL,162,97,65,.599,4.8,3.7,1.2,-0.1,1.0,101-61,-4,10-10,54-27,43-38,6-6,20-16,78-42,19-23,39-36,58-29
3,OAK,AL,162,96,66,.593,4.7,3.9,0.9,0.0,0.8,96-66,0,13-7,52-29,44-37,7-6,30-20,64-44,32-22,40-34,56-32
4,ATL,NL,162,96,66,.593,4.2,3.4,0.9,-0.3,0.6,98-64,-2,11-9,56-25,40-41,12-5,27-20,71-50,25-16,39-24,57-42
5,PIT,NL,162,94,68,.580,3.9,3.6,0.4,0.0,0.3,88-74,6,15-5,50-31,44-37,9-9,29-23,76-55,18-13,40-34,54-34
6,DET,AL,162,93,69,.574,4.9,3.9,1.1,0.0,1.0,99-63,-6,12-8,51-30,42-39,6-13,20-26,66-46,27-23,48-40,45-29
7,LAD,NL,162,92,70,.568,4.0,3.6,0.4,-0.2,0.2,89-73,3,12-8,47-34,45-36,10-5,25-21,66-43,26-27,34-31,58-39
8,CLE,AL,162,92,70,.568,4.6,4.1,0.5,0.0,0.5,90-72,2,11-9,51-30,41-40,10-2,30-17,56-50,36-20,36-52,56-18
9,TBR,AL,163,92,71,.564,4.3,4.0,0.3,0.1,0.5,87-76,5,12-8,51-30,41-41,9-7,26-21,62-48,30-23,48-49,44-22
10,TEX,AL,163,91,72,.558,4.5,3.9,0.6,0.0,0.6,92-71,-1,10-10,46-36,45-36,3-9,27-20,59-53,32-19,38-41,53-31
11,CIN,NL,162,90,72,.556,4.3,3.6,0.7,-0.1,0.6,93-69,-3,11-9,49-31,41-41,13-9,27-22,63-47,27-25,35-42,55-30
12,WSN,NL,162,86,76,.531,4.0,3.9,0.2,-0.2,0.0,84-78,2,11-9,47-34,39-42,7-8,28-24,60-56,26-20,24-41,62-35
13,KCR,AL,162,86,76,.531,4.0,3.7,0.3,0.1,0.4,87-75,-1,9-11,44-37,42-39,11-4,31-25,62-52,24-24,44-45,42-31
14,NYY,AL,162,85,77,.525,4.0,4.1,-0.1,0.2,0.1,79-83,6,9-11,46-35,39-42,6-6,30-16,53-54,32-23,45-52,40-25
15,BAL,AL,162,85,77,.525,4.6,4.4,0.2,0.2,0.4,85-77,0,11-9,46-35,39-42,8-7,20-31,58-51,27-26,51-50,34-27
16,ARI,NL,162,81,81,.500,4.2,4.3,-0.1,-0.1,-0.2,80-82,1,11-9,45-36,36-45,17-8,34-21,56-58,25-23,34-34,47-47
17,LAA,AL,162,78,84,.481,4.5,4.5,0.0,0.1,0.0,81-81,-3,10-10,39-42,39-42,8-8,24-28,60-58,18-26,42-55,36-29
18,SDP,NL,162,76,86,.469,3.8,4.3,-0.5,-0.1,-0.6,72-90,4,8-12,45-36,31-50,8-7,28-24,49-59,27-27,40-43,36-43
19,SFG,NL,162,76,86,.469,3.9,4.3,-0.4,-0.1,-0.5,74-88,2,6-14,42-40,34-46,8-10,28-28,52-55,24-31,41-46,35-40
20,NYM,NL,162,74,88,.457,3.8,4.2,-0.4,-0.2,-0.6,74-88,0,11-9,33-48,41-40,8-12,29-28,49-62,25-26,33-51,41-37
21,MIL,NL,162,74,88,.457,4.0,4.2,-0.3,0.0,-0.3,76-86,-2,6-14,37-44,37-44,6-7,18-25,58-60,16-28,34-56,40-32
22,TOR,AL,162,74,88,.457,4.4,4.7,-0.3,0.2,0.0,77-85,-3,11-9,40-41,34-47,8-9,20-29,55-64,19-24,51-68,23-20
23,COL,NL,162,74,88,.457,4.4,4.7,-0.3,-0.1,-0.5,76-86,-2,5-15,45-36,29-52,6-9,25-26,54-55,20-33,36-48,38-40
24,PHI,NL,162,73,89,.451,3.8,4.6,-0.9,-0.1,-0.9,66-96,7,7-13,43-38,30-51,6-7,28-28,52-68,21-21,33-53,40-36
25,SEA,AL,162,71,91,.438,3.9,4.7,-0.8,0.1,-0.7,67-95,4,8-12,36-45,35-46,6-15,19-29,49-62,22-29,40-55,31-36
26,MIN,AL,162,66,96,.407,3.8,4.9,-1.1,0.2,-0.9,63-99,3,8-12,32-49,34-47,9-7,24-25,50-75,16-21,33-71,33-25
27,CHC,NL,162,66,96,.407,3.7,4.3,-0.5,0.0,-0.5,71-91,-5,13-7,31-50,35-46,7-6,20-33,44-74,22-22,30-60,36-36
28,CHW,AL,162,63,99,.389,3.7,4.5,-0.8,0.1,-0.6,67-95,-4,8-12,37-44,26-55,8-15,24-36,50-74,13-25,36-66,27-33
29,MIA,NL,162,62,100,.383,3.2,4.0,-0.8,-0.1,-0.9,64-98,-2,9-11,36-45,26-55,7-13,24-35,40-71,22-29,26-57,36-43
30,HOU,AL,162,51,111,.315,3.8,5.2,-1.5,0.2,-1.2,57-105,-6,8-12,24-57,27-54,4-8,18-36,38-78,13-33,18-76,33-35
,Avg,,,81,81,.500,4.2,4.2,,,,81-80,,10-10,43-37,37-43,8-8,25-25,57-56,23-24,38-48,43-32
