Rk,Tm,Lg,G,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,NYY,AL,162,114,48,.704,6.0,4.0,1.9,-0.1,1.8,108-54,6,13-3,62-19,52-29,9-2,21-10,81-37,33-11,38-26,76-22
2,ATL,NL,162,106,56,.654,5.1,3.6,1.5,-0.1,1.4,106-56,0,9-7,56-25,50-31,2-4,23-21,81-43,25-13,46-30,60-26
3,HOU,NL,162,102,60,.630,5.4,3.8,1.6,-0.1,1.4,106-56,-4,10-4,55-26,47-34,10-12,30-18,78-43,24-17,38-33,64-27
4,SDP,NL,162,98,64,.605,4.6,3.9,0.7,-0.1,0.6,93-69,5,6-7,54-27,44-37,9-5,31-23,70-40,28-24,41-34,57-30
5,BOS,AL,162,92,70,.568,5.4,4.5,0.9,0.0,0.9,94-68,-2,9-7,51-30,41-40,7-4,24-25,61-55,31-15,32-31,60-39
6,CHC,NL,163,90,73,.552,5.1,4.9,0.2,-0.1,0.2,85-78,5,5-8,51-31,39-42,11-11,30-27,67-51,23-22,34-36,56-37
7,CLE,AL,162,89,73,.549,5.2,4.8,0.4,0.0,0.4,87-75,2,10-6,46-35,43-38,5-10,23-23,64-53,25-20,30-32,59-41
8,SFG,NL,163,89,74,.546,5.2,4.5,0.7,-0.1,0.6,91-72,-2,8-5,49-32,40-42,12-8,25-29,66-57,23-17,34-45,55-29
9,TEX,AL,162,88,74,.543,5.8,5.4,0.4,0.0,0.4,87-75,1,8-8,48-33,40-41,3-3,19-17,62-52,26-22,32-33,56-41
10,NYM,NL,162,88,74,.543,4.4,4.0,0.4,0.0,0.4,88-74,0,9-7,47-34,41-40,7-9,35-26,63-55,25-19,35-39,53-35
11,TOR,AL,163,88,74,.543,5.0,4.7,0.3,0.0,0.3,85-77,3,9-7,51-30,37-44,8-8,28-17,65-55,23-19,31-32,57-42
12,ANA,AL,162,85,77,.525,4.9,4.8,0.0,0.0,0.0,81-81,4,10-6,42-39,43-38,6-6,24-19,62-59,23-18,30-36,55-41
13,LAD,NL,162,83,79,.512,4.1,4.2,-0.1,0.0,-0.1,80-82,3,8-5,48-33,35-46,9-8,30-24,64-60,19-19,34-41,49-38
14,STL,NL,163,83,79,.512,5.0,4.8,0.2,0.0,0.1,84-78,-1,4-9,48-34,35-45,9-7,28-30,57-57,26-22,33-40,50-39
15,CHW,AL,163,80,82,.494,5.3,5.7,-0.4,0.0,-0.4,75-87,5,7-9,44-37,36-45,4-6,20-22,63-57,17-25,34-41,46-41
16,BAL,AL,162,79,83,.488,5.0,4.8,0.2,0.0,0.2,84-78,-5,5-11,42-39,37-44,5-2,18-24,57-56,22-27,33-43,46-40
17,CIN,NL,162,77,85,.475,4.6,4.7,-0.1,0.0,-0.1,80-82,-3,7-6,39-42,38-43,7-7,16-26,63-62,14-23,30-54,47-31
18,COL,NL,162,77,85,.475,5.1,5.3,-0.2,0.0,-0.2,78-84,-1,4-8,42-39,35-46,6-5,23-24,59-53,18-32,36-52,41-33
19,SEA,AL,161,76,85,.472,5.3,5.3,0.0,0.0,0.1,81-80,-5,7-9,42-39,34-46,3-5,10-20,62-67,14-18,25-53,51-32
20,PHI,NL,162,75,87,.463,4.4,5.0,-0.6,0.1,-0.5,72-90,3,7-9,40-41,35-46,13-9,29-28,60-62,15-25,31-56,44-31
21,OAK,AL,162,74,88,.457,5.0,5.3,-0.4,0.1,-0.3,76-86,-2,8-8,39-42,35-46,7-5,16-19,51-59,23-29,36-42,38-46
22,MIL,NL,162,74,88,.457,4.4,5.0,-0.6,0.0,-0.7,71-91,3,8-6,38-43,36-45,10-4,26-26,54-60,20-28,27-55,47-33
23,KCR,AL,161,72,89,.447,4.4,5.6,-1.1,0.1,-1.1,64-97,8,9-7,29-51,43-38,7-5,17-16,53-59,19-30,26-49,46-40
24,MIN,AL,162,70,92,.432,4.5,5.0,-0.5,0.0,-0.5,73-89,-3,7-9,35-46,35-46,5-12,25-29,54-73,16-19,37-38,33-54
25,PIT,NL,163,69,93,.426,4.0,4.4,-0.4,0.0,-0.4,74-88,-5,6-7,40-40,29-53,4-9,19-30,50-69,19-24,32-52,37-41
26,MON,NL,162,65,97,.401,4.0,4.8,-0.9,0.1,-0.8,67-95,-2,6-10,39-42,26-55,4-4,21-27,51-75,14-22,33-54,32-43
27,ARI,NL,162,65,97,.401,4.1,5.0,-0.9,0.1,-0.8,66-96,-1,5-8,34-47,31-50,6-5,16-23,47-75,18-22,30-61,35-36
28,DET,AL,162,65,97,.401,4.5,5.3,-0.9,0.1,-0.8,68-94,-3,7-9,32-49,33-48,7-8,20-21,48-72,17-25,25-48,40-49
29,TBD,AL,162,63,99,.389,3.8,4.6,-0.8,0.1,-0.7,67-95,-4,5-11,33-48,30-51,5-10,15-20,50-72,13-27,22-52,41-47
30,FLA,NL,162,54,108,.333,4.1,5.7,-1.6,0.1,-1.5,58-104,-4,8-8,31-50,23-58,7-14,31-29,43-83,11-25,30-57,24-51
,Avg,,,81,81,.500,4.8,4.8,,,,80-81,,7-7,43-37,37-43,6-6,23-23,60-59,20-21,32-43,48-37
