Rk,Tm,Lg,G,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,NYY,AL,161,103,58,.640,5.6,4.3,1.2,0.0,1.2,99-62,4,11-7,52-28,51-30,6-7,21-21,78-47,25-11,37-25,66-33
2,OAK,AL,162,103,59,.636,4.9,4.0,0.9,0.2,1.1,96-66,7,16-2,54-27,49-32,5-6,32-14,83-45,20-14,46-38,57-21
3,ATL,NL,161,101,59,.631,4.4,3.5,0.9,-0.1,0.8,96-64,5,15-3,52-28,49-31,7-8,28-17,87-50,14-9,39-22,62-37
4,ANA,AL,162,99,63,.611,5.3,4.0,1.3,0.1,1.3,101-61,-2,11-7,54-27,45-36,10-5,31-22,69-47,30-16,38-42,61-21
5,ARI,NL,162,98,64,.605,5.1,4.2,0.9,-0.1,0.8,95-67,3,11-7,55-26,43-38,9-3,23-20,70-42,28-22,33-35,65-29
6,STL,NL,162,97,65,.599,4.9,4.0,0.9,-0.2,0.6,95-67,2,8-4,52-29,45-36,5-5,22-19,76-49,21-16,32-23,65-42
7,SFG,NL,162,95,66,.590,4.8,3.8,1.0,-0.1,1.0,98-63,-3,8-10,50-31,45-35,8-1,28-22,74-48,21-18,37-34,58-32
8,MIN,AL,161,94,67,.584,4.8,4.4,0.3,-0.2,0.2,86-75,8,10-8,54-27,40-40,10-4,29-16,71-38,23-29,28-33,66-34
9,BOS,AL,162,93,69,.574,5.3,4.1,1.2,0.0,1.2,100-62,-7,5-13,42-39,51-30,3-5,13-23,69-57,24-12,29-39,64-30
10,SEA,AL,162,93,69,.574,5.0,4.3,0.7,0.2,0.9,92-70,1,11-7,48-33,45-36,11-6,24-25,66-51,27-18,43-37,50-32
11,LAD,NL,162,92,70,.568,4.4,4.0,0.4,0.0,0.4,89-73,3,12-6,46-35,46-35,7-4,33-15,68-55,24-15,38-34,54-36
12,HOU,NL,162,84,78,.518,4.6,4.3,0.3,-0.2,0.2,87-75,-3,5-7,47-34,37-44,5-8,18-25,63-62,21-16,20-35,64-43
13,MON,NL,162,83,79,.512,4.5,4.4,0.1,-0.1,0.0,83-79,0,12-6,49-32,34-47,13-6,30-22,65-61,18-18,22-31,61-48
14,CHW,AL,162,81,81,.500,5.3,4.9,0.4,-0.2,0.2,86-76,-5,8-10,47-34,34-47,3-2,15-21,64-57,17-24,25-39,56-42
15,PHI,NL,161,80,81,.497,4.4,4.5,-0.1,-0.1,-0.2,79-82,1,10-8,40-40,40-41,11-7,22-24,64-61,16-20,33-42,47-39
16,FLA,NL,162,79,83,.488,4.3,4.7,-0.4,-0.1,-0.5,75-87,4,10-8,46-35,33-48,5-12,24-20,60-60,19-23,34-38,45-45
17,CIN,NL,162,78,84,.481,4.4,4.8,-0.4,-0.1,-0.5,75-87,3,2-10,38-43,40-41,12-6,26-23,61-63,17-21,24-51,54-33
18,TOR,AL,162,78,84,.481,5.0,5.1,-0.1,0.2,0.1,80-82,-2,9-9,42-39,36-45,4-8,23-21,62-60,16-24,35-58,43-26
19,NYM,NL,161,75,86,.466,4.3,4.4,-0.1,0.0,-0.1,79-82,-4,10-8,38-43,37-43,5-9,27-26,57-65,18-21,30-51,45-35
20,CLE,AL,162,74,88,.457,4.6,5.2,-0.6,0.0,-0.7,72-90,2,6-12,39-42,35-46,4-4,16-17,51-65,23-23,35-50,39-38
21,COL,NL,162,73,89,.451,4.8,5.5,-0.7,0.1,-0.6,70-92,3,7-11,47-34,26-55,5-5,18-19,57-63,16-26,35-56,38-33
22,PIT,NL,161,72,89,.447,4.0,4.5,-0.6,-0.1,-0.7,71-90,1,3-9,38-42,34-47,4-4,27-24,53-73,19-16,25-45,47-44
23,TEX,AL,162,72,90,.444,5.2,5.4,-0.2,0.2,0.0,78-84,-6,9-9,42-39,30-51,6-12,18-26,57-59,15-31,35-64,37-26
24,BAL,AL,162,67,95,.414,4.1,4.8,-0.7,0.2,-0.4,70-92,-3,9-9,34-47,33-48,9-5,22-25,51-67,16-28,35-52,32-43
25,CHC,NL,162,67,95,.414,4.4,4.7,-0.3,-0.1,-0.4,76-86,-9,6-6,36-45,31-50,5-9,18-36,52-71,15-24,31-45,36-50
26,SDP,NL,162,66,96,.407,4.1,5.0,-0.9,0.1,-0.8,66-96,0,8-10,41-40,25-56,4-11,18-25,47-71,19-25,35-56,31-40
27,KCR,AL,162,62,100,.383,4.5,5.5,-1.0,0.0,-1.0,67-95,-5,5-13,37-44,25-56,7-12,14-27,47-77,15-23,24-62,38-38
28,MIL,NL,162,56,106,.346,3.9,5.1,-1.2,0.0,-1.2,61-101,-5,2-10,31-50,25-56,3-10,14-28,47-83,9-23,24-53,32-53
29,DET,AL,161,55,106,.342,3.6,5.4,-1.8,0.1,-1.7,52-109,3,6-12,33-47,22-59,5-6,23-23,43-84,12-22,24-63,31-43
30,TBD,AL,161,55,106,.342,4.2,5.7,-1.5,0.3,-1.2,58-103,-3,7-11,30-51,25-55,9-10,17-28,47-85,8-21,21-63,34-43
,Avg,,,80,80,.500,4.6,4.6,,,,81-80,,8-8,43-37,37-43,6-6,22-22,61-60,18-20,31-43,49-36
