Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
MIL,23,28.1,5.01,74,88,.457,4.63,162,162,160,2,2,0,39,1451.0,1538,812,746,188,550,29,1063,61,7,48,6325,93,4.62,1.439,9.5,1.2,3.4,6.6,1.93,1160
MIN,17,28.7,5.05,70,92,.432,4.75,162,162,155,7,8,1,42,1447.2,1622,818,764,180,457,21,952,44,5,55,6322,100,4.48,1.436,10.1,1.1,2.8,5.9,2.08,1161
MON,19,25.7,4.83,65,97,.401,4.38,162,162,158,4,5,0,39,1427.0,1448,783,695,156,533,39,1017,57,12,50,6207,96,4.38,1.388,9.1,1.0,3.4,6.4,1.91,1143
NYM,19,31.7,3.98,88,74,.543,3.76,162,162,153,9,16,3,46,1458.0,1381,645,609,152,532,59,1129,68,11,40,6161,112,4.18,1.312,8.5,0.9,3.3,7.0,2.12,1142
NYY,19,30.2,4.05,114,48,.704,3.82,162,162,140,22,16,8,48,1456.2,1357,656,619,156,466,25,1080,68,5,37,6100,116,4.15,1.251,8.4,1.0,2.9,6.7,2.32,1074
OAK,19,31.0,5.35,74,88,.457,4.81,162,162,150,12,4,3,39,1434.0,1555,866,766,179,529,29,922,56,5,68,6310,94,4.70,1.453,9.8,1.1,3.3,5.8,1.74,1142
PHI,21,29.3,4.99,75,87,.463,4.64,162,162,141,21,10,3,32,1463.0,1476,808,754,188,544,27,1176,54,5,73,6339,95,4.43,1.381,9.1,1.2,3.3,7.2,2.16,1142
PIT,17,26.5,4.40,69,93,.426,3.91,163,163,156,7,10,2,41,1449.0,1433,718,629,147,530,53,1112,31,14,45,6217,112,4.08,1.355,8.9,0.9,3.3,6.9,2.10,1152
SDP,21,29.8,3.92,98,64,.605,3.63,162,162,148,14,11,5,59,1454.2,1384,635,587,139,501,45,1217,49,6,63,6151,108,3.84,1.296,8.6,0.9,3.1,7.5,2.43,1152
SEA,20,31.3,5.31,76,85,.472,4.93,161,161,144,17,7,5,31,1424.1,1530,855,781,196,528,23,1156,60,6,61,6271,93,4.54,1.445,9.7,1.2,3.3,7.3,2.19,1143
SFG,17,31.8,4.53,89,74,.546,4.18,163,163,157,6,6,3,44,1477.0,1457,739,686,171,562,68,1089,52,3,58,6362,97,4.42,1.367,8.9,1.0,3.4,6.6,1.94,1192
STL,23,28.9,4.80,83,79,.512,4.31,163,163,157,6,10,2,44,1469.2,1513,782,703,151,558,38,972,54,14,42,6392,99,4.40,1.409,9.3,0.9,3.4,6.0,1.74,1201
TBD,22,27.9,4.64,63,99,.389,4.35,162,162,155,7,7,2,28,1443.0,1425,751,698,171,643,27,1008,81,3,43,6269,110,4.78,1.433,8.9,1.1,4.0,6.3,1.57,1189
TEX,21,29.9,5.38,88,74,.543,4.99,162,162,152,10,8,4,46,1431.1,1624,871,794,164,519,32,994,45,2,62,6357,96,4.42,1.497,10.2,1.0,3.3,6.3,1.92,1192
TOR,20,30.3,4.71,88,74,.543,4.28,163,163,153,10,11,5,47,1465.0,1443,768,697,169,587,26,1154,45,4,34,6352,108,4.36,1.386,8.9,1.0,3.6,7.1,1.97,1189
LgAvg,19,28.8,4.79,81,81,.500,4.42,162,162,152,10,,,42,1448,1483,777,712,169,548,36,1063,53,7,53,6276,101,4.43,1.403,9.2,1.0,3.4,6.6,1.94,1156
,557,28.8,4.79,2430,2430,.500,4.42,4864,4864,4562,302,,,1265,43434.2,44489,23297,21352,5064,16447,1067,31893,1587,205,1603,188280,101,4.43,1.403,9.2,1.0,3.4,6.6,1.94,34679
