Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
ANA,19,29.8,4.83,85,77,.525,4.49,162,162,159,3,5,1,52,1444.0,1481,783,720,164,630,23,1091,47,4,70,6326,106,4.51,1.462,9.2,1.0,3.9,6.8,1.73,1211
ARI,25,27.4,5.01,65,97,.401,4.63,162,162,155,7,6,2,37,1432.1,1463,812,737,188,489,32,908,41,14,52,6151,91,4.69,1.363,9.2,1.2,3.1,5.7,1.86,1042
ATL,19,29.5,3.59,106,56,.654,3.25,162,162,138,24,23,14,45,1438.2,1291,581,520,117,467,37,1232,35,3,51,5967,128,3.53,1.222,8.1,0.7,2.9,7.7,2.64,1070
BAL,22,30.5,4.85,79,83,.488,4.74,162,162,146,16,10,4,37,1431.1,1505,785,754,169,535,33,1065,46,6,51,6213,96,4.40,1.425,9.5,1.1,3.4,6.7,1.99,1134
BOS,23,29.5,4.50,92,70,.568,4.18,162,162,157,5,8,2,53,1436.0,1406,729,667,168,504,33,1025,53,2,62,6141,113,4.40,1.330,8.8,1.1,3.2,6.4,2.03,1104
CHC,24,28.8,4.86,90,73,.552,4.47,163,163,156,7,7,5,56,1477.1,1528,792,733,180,575,48,1207,48,14,48,6472,98,4.35,1.424,9.3,1.1,3.5,7.4,2.10,1248
CHW,20,26.4,5.71,80,82,.494,5.22,163,163,155,8,4,0,42,1438.2,1569,931,835,211,580,20,911,54,10,58,6368,88,5.10,1.494,9.8,1.3,3.6,5.7,1.57,1121
CIN,24,28.0,4.69,77,85,.475,4.44,162,162,156,6,8,3,42,1441.1,1400,760,711,170,573,42,1098,52,7,60,6206,98,4.45,1.369,8.7,1.1,3.6,6.9,1.92,1122
CLE,23,29.8,4.81,89,73,.549,4.44,162,162,153,9,4,3,47,1460.0,1552,779,721,171,563,48,1037,67,5,35,6393,107,4.54,1.449,9.6,1.1,3.5,6.4,1.84,1234
COL,19,27.8,5.28,77,85,.475,4.99,162,162,153,9,5,2,36,1432.2,1583,855,794,174,562,17,951,63,9,47,6277,104,4.70,1.497,9.9,1.1,3.5,6.0,1.69,1124
DET,20,26.6,5.33,65,97,.401,4.93,162,162,153,9,4,3,32,1446.1,1551,863,792,185,595,53,947,40,0,60,6327,96,4.81,1.484,9.7,1.2,3.7,5.9,1.59,1125
FLA,22,24.5,5.70,54,108,.333,5.18,162,162,151,11,3,0,24,1449.2,1617,923,834,182,715,61,1016,58,10,62,6553,78,4.97,1.609,10.0,1.1,4.4,6.3,1.42,1281
HOU,18,27.8,3.83,102,60,.630,3.50,162,162,150,12,11,7,44,1471.1,1435,620,572,147,465,25,1187,42,5,50,6214,118,3.86,1.291,8.8,0.9,2.8,7.3,2.55,1180
KCR,22,28.8,5.58,72,89,.447,5.15,161,161,155,6,5,3,46,1436.1,1590,899,822,196,568,28,999,60,5,72,6369,92,4.83,1.502,10.0,1.2,3.6,6.3,1.76,1161
LAD,25,27.6,4.19,83,79,.512,3.81,162,162,146,16,10,6,47,1447.1,1332,678,612,135,587,26,1178,56,9,46,6168,106,4.06,1.326,8.3,0.8,3.7,7.3,2.01,1148
