Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
NYM,24,29.2,4.67,70,92,.432,4.45,162,162,159,3,12,2,39,1426.0,1452,757,705,158,616,60,1031,55,10,41,6284,92,4.50,1.450,9.2,1.0,3.9,6.5,1.67,1249
NYY,24,29.3,4.65,103,59,.636,4.26,162,162,159,3,8,1,51,1450.0,1386,753,687,181,574,28,1260,71,5,66,6247,108,4.32,1.352,8.6,1.1,3.6,7.8,2.20,1144
OAK,26,25.7,4.70,75,87,.463,4.26,162,162,160,2,10,2,38,1447.1,1486,761,685,156,523,30,1124,36,2,43,6243,103,4.10,1.388,9.2,1.0,3.3,7.0,2.15,1140
PHI,22,31.2,4.38,93,69,.574,4.16,162,162,154,8,9,5,44,1455.2,1479,709,673,189,489,31,1153,75,2,28,6263,101,4.36,1.352,9.1,1.2,3.0,7.1,2.36,1187
PIT,26,26.3,4.77,62,99,.385,4.59,161,161,156,5,7,2,28,1418.1,1491,768,723,152,563,37,919,47,3,52,6144,91,4.48,1.448,9.5,1.0,3.6,5.8,1.63,1121
SDP,33,26.8,4.75,75,87,.463,4.37,162,162,160,2,9,1,45,1450.2,1422,769,704,167,603,58,1187,45,8,52,6273,87,4.30,1.396,8.8,1.0,3.7,7.4,1.97,1152
SEA,20,27.4,4.27,85,77,.525,3.87,162,162,158,4,10,2,49,1452.2,1359,692,625,172,534,13,1043,43,5,61,6159,110,4.39,1.303,8.4,1.1,3.3,6.5,1.95,1109
SFG,21,28.7,3.77,88,74,.543,3.55,162,162,151,11,18,3,41,1446.0,1268,611,571,140,584,49,1302,41,3,71,6103,120,3.85,1.281,7.9,0.9,3.6,8.1,2.23,1154
STL,20,30.1,3.95,91,71,.562,3.66,162,162,154,8,11,4,43,1440.2,1407,640,586,123,460,23,1049,53,5,43,6087,112,3.82,1.296,8.8,0.8,2.9,6.6,2.28,1125
TBR,21,28.4,4.65,84,78,.519,4.33,162,162,159,3,5,3,41,1427.1,1421,754,686,183,515,22,1125,46,5,46,6146,100,4.37,1.356,9.0,1.2,3.2,7.1,2.18,1110
TEX,23,27.7,4.57,87,75,.537,4.38,162,162,154,8,11,3,45,1434.2,1432,740,698,171,531,14,1016,70,8,45,6172,106,4.49,1.368,9.0,1.1,3.3,6.4,1.91,1128
TOR,24,28.4,4.76,75,87,.463,4.47,162,162,152,10,10,4,25,1451.0,1509,771,720,181,551,26,1181,58,4,43,6281,100,4.35,1.420,9.4,1.1,3.4,7.3,2.14,1157
WSN,30,27.4,5.40,59,103,.364,5.00,162,162,156,6,3,1,33,1424.1,1533,874,791,173,629,59,911,48,5,74,6349,85,4.82,1.518,9.7,1.1,4.0,5.8,1.45,1200
LgAvg,22,28.4,4.61,81,81,.500,4.31,162,162,157,5,,,40,1442,1451,747,691,168,554,39,1120,53,5,53,6236,101,4.32,1.390,9.1,1.0,3.5,7.0,2.02,1161
,664,28.4,4.61,2430,2430,.500,4.31,4860,4860,4708,152,,,1202,43272.0,43524,22419,20731,5042,16620,1179,33591,1590,138,1600,187079,101,4.32,1.390,9.1,1.0,3.5,7.0,2.02,34842
