Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
ARI,24,27.7,4.83,70,92,.432,4.42,162,162,158,4,12,1,36,1447.2,1470,782,711,168,525,27,1158,53,2,79,6267,101,4.20,1.378,9.1,1.0,3.3,7.2,2.21,1142
ATL,21,28.9,3.96,86,76,.531,3.57,162,162,159,3,10,0,38,1462.2,1399,641,581,119,530,59,1232,49,6,40,6208,116,3.66,1.319,8.6,0.7,3.3,7.6,2.32,1179
BAL,27,28.1,5.41,64,98,.395,5.15,162,162,160,2,3,0,31,1429.0,1633,876,817,218,546,45,933,51,7,31,6359,89,5.03,1.525,10.3,1.4,3.4,5.9,1.71,1196
BOS,27,29.8,4.54,95,67,.586,4.35,162,162,154,8,11,2,41,1436.2,1494,736,695,167,530,24,1230,68,5,42,6283,107,4.14,1.409,9.4,1.0,3.3,7.7,2.32,1237
CHC,24,28.4,4.17,83,78,.516,3.84,161,161,158,3,8,2,40,1445.1,1329,672,616,160,586,46,1272,59,6,60,6177,116,4.11,1.325,8.3,1.0,3.6,7.9,2.17,1169
CHW,24,29.5,4.52,79,83,.488,4.14,162,162,158,4,11,1,36,1439.2,1438,732,663,169,507,41,1119,41,5,55,6155,113,4.21,1.351,9.0,1.1,3.2,7.0,2.21,1104
CIN,22,29.0,4.46,78,84,.481,4.18,162,162,156,6,12,4,41,1458.1,1420,723,677,188,577,36,1069,65,1,45,6253,101,4.63,1.369,8.8,1.2,3.6,6.6,1.85,1155
CLE,29,27.8,5.34,65,97,.401,5.06,162,162,157,5,6,2,25,1434.0,1570,865,806,183,598,31,986,45,7,49,6354,84,4.73,1.512,9.9,1.1,3.8,6.2,1.65,1187
COL,25,28.5,4.41,92,70,.568,4.22,162,162,157,5,7,2,45,1438.1,1427,715,675,141,528,51,1154,46,5,48,6171,112,3.96,1.359,8.9,0.9,3.3,7.2,2.19,1141
DET,23,26.6,4.57,86,77,.528,4.29,163,163,159,4,9,1,42,1447.0,1449,745,690,182,594,42,1102,41,6,48,6240,104,4.53,1.412,9.0,1.1,3.7,6.9,1.86,1154
FLA,27,26.3,4.73,87,75,.537,4.29,162,162,157,5,5,1,45,1446.1,1425,766,690,160,601,60,1248,45,5,59,6299,100,4.15,1.401,8.9,1.0,3.7,7.8,2.08,1194
HOU,22,31.2,4.75,74,88,.457,4.54,162,162,157,5,10,1,39,1430.0,1521,770,722,176,546,56,1144,50,4,43,6237,91,4.35,1.445,9.6,1.1,3.4,7.2,2.10,1177
KCR,23,28.7,5.20,65,97,.401,4.83,162,162,152,10,9,5,34,1426.0,1486,842,765,166,600,28,1153,51,6,89,6265,92,4.36,1.463,9.4,1.0,3.8,7.3,1.92,1145
LAA,25,28.6,4.70,97,65,.599,4.45,162,162,153,9,13,6,51,1445.0,1513,761,715,180,523,35,1062,58,2,67,6252,99,4.45,1.409,9.4,1.1,3.3,6.6,2.03,1156
LAD,25,27.8,3.77,95,67,.586,3.41,162,162,161,1,9,1,44,1473.1,1265,611,558,127,584,68,1272,57,2,76,6182,118,3.80,1.255,7.7,0.8,3.6,7.8,2.18,1151
MIL,23,30.0,5.05,80,82,.494,4.83,162,162,161,1,8,0,44,1435.0,1498,818,770,207,607,60,1104,65,1,61,6352,85,4.84,1.467,9.4,1.3,3.8,6.9,1.82,1229
MIN,24,27.9,4.69,87,76,.534,4.50,163,163,159,4,7,1,48,1453.0,1542,765,726,185,466,20,1052,58,3,43,6274,98,4.39,1.382,9.6,1.1,2.9,6.5,2.26,1150
