Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
ARI,26,28.2,4.52,90,72,.556,4.13,162,162,155,7,12,4,51,1441.0,1446,732,662,169,546,38,1088,61,9,48,6216,115,4.52,1.382,9.0,1.1,3.4,6.8,1.99,1161
ATL,28,29.4,4.52,84,78,.519,4.11,162,162,161,1,6,1,36,1456.1,1442,733,665,172,537,89,1106,42,5,48,6263,107,4.45,1.359,8.9,1.1,3.3,6.8,2.06,1161
BAL,27,29.0,5.36,69,93,.426,5.17,162,162,158,4,9,1,30,1438.2,1491,868,827,161,696,37,1087,72,8,55,6418,89,4.79,1.520,9.3,1.0,4.4,6.8,1.56,1234
BOS,20,31.1,4.06,96,66,.593,3.87,162,162,157,5,13,3,45,1438.2,1350,657,618,151,482,20,1149,62,0,33,6071,123,4.14,1.273,8.4,0.9,3.0,7.2,2.38,1098
CHC,22,28.4,4.26,85,77,.525,4.04,162,162,160,2,10,1,39,1446.2,1340,690,650,165,573,46,1211,59,3,42,6186,115,4.36,1.322,8.3,1.0,3.6,7.5,2.11,1156
CHW,21,27.7,5.18,72,90,.444,4.77,162,162,153,9,9,4,42,1440.2,1556,839,763,174,499,50,1015,59,0,45,6293,99,4.56,1.426,9.7,1.1,3.1,6.3,2.03,1132
CIN,25,29.1,5.27,72,90,.444,4.94,162,162,156,6,7,2,34,1449.2,1605,853,796,198,482,47,1068,73,5,54,6354,94,4.69,1.440,10.0,1.2,3.0,6.6,2.22,1152
CLE,21,29.4,4.35,96,66,.593,4.05,162,162,153,9,9,4,49,1462.2,1519,704,658,146,410,42,1047,56,2,42,6206,112,4.06,1.319,9.3,0.9,2.5,6.4,2.55,1114
COL,30,28.1,4.65,90,73,.552,4.32,163,163,159,4,7,1,39,1472.0,1497,758,706,164,504,61,967,59,8,35,6293,112,4.52,1.359,9.2,1.0,3.1,5.9,1.92,1119
DET,25,28.5,4.92,88,74,.543,4.57,162,162,161,1,9,1,44,1447.1,1498,797,735,174,566,41,1047,68,8,75,6345,100,4.67,1.426,9.3,1.1,3.5,6.5,1.85,1206
FLA,30,26.2,5.50,71,91,.438,4.94,162,162,162,0,4,0,40,1443.2,1617,891,793,176,661,60,1142,76,9,67,6544,88,4.77,1.578,10.1,1.1,4.1,7.1,1.73,1322
HOU,21,30.2,5.02,73,89,.451,4.68,162,162,160,2,6,1,38,1464.2,1566,813,761,206,510,62,1109,63,3,40,6417,95,4.73,1.417,9.6,1.3,3.1,6.8,2.17,1210
KCR,23,27.1,4.80,69,93,.426,4.48,162,162,160,2,6,0,36,1437.1,1547,778,716,168,520,54,993,41,4,56,6253,102,4.55,1.438,9.7,1.1,3.3,6.2,1.91,1163
LAA,18,28.4,4.51,94,68,.580,4.23,162,162,157,5,9,3,43,1435.0,1480,731,674,151,477,22,1156,51,5,69,6161,107,4.10,1.364,9.3,0.9,3.0,7.3,2.42,1125
LAD,22,31.1,4.49,82,80,.506,4.20,162,162,158,4,6,0,43,1450.0,1443,727,677,146,518,34,1184,38,5,44,6196,106,4.07,1.352,9.0,0.9,3.2,7.3,2.29,1119
MIL,21,29.1,4.79,83,79,.512,4.41,162,162,159,3,6,0,49,1444.1,1513,776,708,161,507,37,1174,52,2,57,6285,100,4.22,1.399,9.4,1.0,3.2,7.3,2.32,1176
MIN,19,27.4,4.48,79,83,.488,4.15,162,162,157,5,8,3,38,1436.2,1505,725,663,185,420,33,1094,51,5,46,6133,103,4.37,1.340,9.4,1.2,2.6,6.9,2.60,1098
NYM,24,31.3,4.63,88,74,.543,4.26,162,162,160,2,10,2,39,1452.1,1415,750,687,165,570,40,1134,61,3,36,6293,101,4.46,1.367,8.8,1.0,3.5,7.0,1.99,1186
NYY,28,31.4,4.80,94,68,.580,4.49,162,162,161,1,5,0,34,1450.2,1498,777,724,150,578,33,1009,60,6,59,6308,101,4.51,1.431,9.3,0.9,3.6,6.3,1.75,1179
OAK,24,26.9,4.68,76,86,.469,4.28,162,162,158,4,9,1,36,1448.0,1468,758,689,138,530,60,1036,43,4,52,6247,99,4.24,1.380,9.1,0.9,3.3,6.4,1.95,1145
PHI,28,30.6,5.07,89,73,.549,4.73,162,162,157,5,5,2,42,1458.1,1555,821,767,198,558,62,1050,72,3,46,6385,97,4.86,1.449,9.6,1.2,3.4,6.5,1.88,1189
PIT,25,27.1,5.22,68,94,.420,4.93,162,162,158,4,5,2,32,1447.2,1627,846,793,174,518,55,997,76,3,45,6374,89,4.66,1.482,10.1,1.1,3.2,6.2,1.92,1185
SDP,21,31.5,4.09,89,74,.546,3.70,163,163,162,1,20,0,45,1484.2,1406,666,611,119,474,48,1136,48,6,42,6254,108,3.81,1.266,8.5,0.7,2.9,6.9,2.40,1134
SEA,23,28.1,5.02,88,74,.543,4.73,162,162,156,6,12,4,43,1434.1,1578,813,754,147,546,39,1020,62,10,59,6313,92,4.42,1.481,9.9,0.9,3.4,6.4,1.87,1197
SFG,22,27.3,4.44,71,91,.438,4.19,162,162,157,5,10,0,37,1453.2,1442,720,677,133,593,41,1057,47,4,49,6299,107,4.30,1.400,8.9,0.8,3.7,6.5,1.78,1218
STL,25,29.6,5.12,78,84,.481,4.65,162,162,160,2,8,0,34,1435.2,1514,829,741,168,509,25,945,73,6,39,6283,95,4.66,1.409,9.5,1.1,3.2,5.9,1.86,1147
TBD,24,27.0,5.83,66,96,.407,5.53,162,162,160,2,2,1,28,1429.2,1649,944,879,199,568,31,1194,63,2,55,6403,82,4.70,1.551,10.4,1.3,3.6,7.5,2.10,1170
TEX,25,27.7,5.21,75,87,.463,4.75,162,162,162,0,6,0,42,1430.0,1525,844,755,155,668,38,976,70,4,66,6389,96,4.83,1.534,9.6,1.0,4.2,6.1,1.46,1255
TOR,23,27.3,4.31,83,79,.512,4.00,162,162,151,11,9,2,44,1448.2,1383,699,644,157,479,34,1067,55,3,42,6108,112,4.28,1.285,8.6,1.0,3.0,6.6,2.23,1063
WSN,26,27.5,4.83,73,89,.451,4.58,162,162,162,0,6,0,46,1446.2,1502,783,736,187,580,44,931,42,4,52,6333,93,4.92,1.439,9.3,1.2,3.6,5.8,1.61,1210
LgAvg,22,28.7,4.80,81,81,.500,4.46,162,162,158,4,,,40,1448,1499,777,718,165,536,44,1073,59,5,50,6287,101,4.47,1.406,9.3,1.0,3.3,6.7,2.00,1167
,666,28.7,4.80,2431,2431,.500,4.46,4862,4862,4750,112,,,1198,43425.2,44977,23322,21529,4957,16079,1323,32189,1755,139,1498,188623,101,4.47,1.406,9.3,1.0,3.3,6.7,2.00,35024
