Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
MIL,24,27.4,5.07,73,89,.451,4.63,163,163,161,2,7,1,29,1466.1,1501,826,755,174,728,87,967,65,6,60,6497,99,4.98,1.520,9.2,1.1,4.5,5.9,1.33,1272
MIN,17,26.6,5.43,69,93,.426,5.14,162,162,156,6,4,2,35,1432.2,1634,880,819,212,516,12,1042,35,4,68,6336,101,4.76,1.501,10.3,1.3,3.2,6.5,2.02,1158
MON,27,26.1,5.57,67,95,.414,5.13,162,162,158,4,7,2,39,1424.2,1575,902,812,181,579,40,1011,60,7,55,6340,94,4.71,1.512,9.9,1.1,3.7,6.4,1.75,1164
NYM,20,31.0,4.56,94,68,.580,4.16,162,162,154,8,10,2,49,1450.0,1398,738,670,164,574,42,1164,60,7,34,6276,107,4.31,1.360,8.7,1.0,3.6,7.2,2.03,1188
NYY,22,32.0,5.06,87,74,.540,4.76,161,161,152,9,6,2,40,1424.1,1458,814,753,177,577,23,1040,52,6,49,6256,102,4.61,1.429,9.2,1.1,3.6,6.6,1.80,1169
OAK,21,29.5,5.05,91,70,.565,4.58,161,161,154,7,11,4,43,1435.1,1535,813,730,158,615,57,963,48,1,46,6355,103,4.61,1.498,9.6,1.0,3.9,6.0,1.57,1236
PHI,27,28.7,5.12,65,97,.401,4.77,162,162,154,8,6,3,34,1438.2,1458,830,763,201,640,32,1123,42,3,54,6314,98,4.81,1.458,9.1,1.3,4.0,7.0,1.75,1168
PIT,24,27.1,5.48,69,93,.426,4.94,162,162,157,5,7,2,27,1449.0,1554,888,795,163,711,61,1070,60,6,67,6514,94,4.72,1.563,9.7,1.0,4.4,6.6,1.50,1279
SDP,29,27.5,5.03,76,86,.469,4.52,162,162,157,5,5,0,46,1459.1,1443,815,733,191,649,50,1071,68,7,66,6414,95,4.84,1.434,8.9,1.2,4.0,6.6,1.65,1221
SEA,16,29.3,4.81,91,71,.562,4.49,162,162,158,4,10,4,44,1441.2,1442,780,720,167,634,37,998,38,6,43,6269,101,4.65,1.440,9.0,1.0,4.0,6.2,1.57,1164
SFG,17,28.5,4.61,97,65,.599,4.21,162,162,153,9,15,4,47,1444.1,1452,747,675,151,623,26,1076,41,4,43,6270,102,4.38,1.437,9.0,0.9,3.9,6.7,1.73,1190
STL,24,29.3,4.76,95,67,.586,4.38,162,162,152,10,7,4,37,1433.2,1403,771,698,196,606,28,1100,62,9,49,6200,107,4.77,1.401,8.8,1.2,3.8,6.9,1.82,1128
TBD,24,29.3,5.23,69,92,.429,4.86,161,161,151,10,8,3,38,1431.1,1553,842,773,198,533,33,955,66,3,57,6283,102,4.85,1.457,9.8,1.2,3.4,6.0,1.79,1147
TEX,19,28.7,6.01,71,91,.438,5.52,162,162,159,3,4,0,39,1429.0,1683,974,876,202,661,40,918,63,6,40,6559,91,5.21,1.640,10.6,1.3,4.2,5.8,1.39,1298
TOR,22,28.9,5.60,83,79,.512,5.14,162,162,147,15,4,3,37,1437.1,1615,908,821,195,560,19,978,64,3,37,6377,98,4.84,1.513,10.1,1.2,3.5,6.1,1.75,1157
LgAvg,20,28.8,5.14,81,81,.500,4.76,162,162,154,8,,,39,1441,1508,832,763,190,608,40,1045,52,5,51,6342,101,4.77,1.468,9.4,1.2,3.8,6.5,1.72,1185
,606,28.8,5.14,2428,2428,.500,4.76,4858,4858,4624,234,,,1178,43244.1,45246,24971,22876,5693,18237,1210,31356,1573,161,1518,190261,101,4.77,1.468,9.4,1.2,3.8,6.5,1.72,35557
