Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
ANA,25,28.9,5.36,82,80,.506,5.00,162,162,157,5,3,2,46,1448.0,1534,869,805,228,662,44,846,36,10,47,6401,101,5.46,1.517,9.5,1.4,4.1,5.3,1.28,1188
ARI,17,31.6,4.65,85,77,.525,4.35,162,162,146,16,8,4,38,1443.2,1441,754,698,190,500,53,1220,42,10,30,6158,110,4.28,1.344,9.0,1.2,3.1,7.6,2.44,1073
ATL,22,31.4,4.41,95,67,.586,4.05,162,162,149,13,9,6,53,1440.1,1428,714,648,165,484,52,1093,37,6,23,6165,114,4.19,1.327,8.9,1.0,3.0,6.8,2.26,1130
BAL,22,29.1,5.64,74,88,.457,5.37,162,162,148,14,6,2,33,1433.1,1547,913,855,202,665,32,1017,36,1,51,6433,88,5.01,1.543,9.7,1.3,4.2,6.4,1.53,1220
BOS,24,30.2,4.60,85,77,.525,4.23,162,162,155,7,12,4,46,1452.2,1433,745,683,173,498,40,1121,58,2,33,6225,120,4.29,1.329,8.9,1.1,3.1,6.9,2.25,1122
CHC,24,28.4,5.58,65,97,.401,5.25,162,162,152,10,5,1,39,1454.2,1505,904,849,231,658,45,1143,62,4,45,6451,87,5.11,1.487,9.3,1.4,4.1,7.1,1.74,1183
CHW,22,26.5,5.18,95,67,.586,4.66,162,162,157,5,7,2,43,1450.1,1509,839,751,195,614,27,1037,54,8,43,6337,108,4.83,1.464,9.4,1.2,3.8,6.4,1.69,1147
CIN,21,28.5,4.69,85,77,.525,4.33,163,163,155,8,7,1,42,1456.1,1446,765,700,190,659,53,1015,43,5,96,6362,110,4.88,1.445,8.9,1.2,4.1,6.3,1.54,1228
CLE,32,30.2,5.04,90,72,.556,4.84,162,162,156,6,5,2,34,1442.1,1511,816,775,173,666,45,1213,42,3,50,6380,102,4.48,1.509,9.4,1.1,4.2,7.6,1.82,1237
COL,25,29.9,5.54,82,80,.506,5.26,162,162,155,7,2,1,33,1430.0,1568,897,835,221,588,72,1001,72,5,40,6340,110,5.13,1.508,9.9,1.4,3.7,6.3,1.70,1153
DET,23,29.1,5.10,79,83,.488,4.71,162,162,156,6,6,1,44,1443.1,1583,827,755,177,496,22,978,47,5,51,6295,99,4.50,1.440,9.9,1.1,3.1,6.1,1.97,1138
FLA,18,26.7,4.95,79,82,.491,4.59,161,161,156,5,4,3,48,1429.2,1477,797,729,169,650,56,1051,43,10,49,6307,96,4.65,1.488,9.3,1.1,4.1,6.6,1.62,1221
HOU,23,28.0,5.83,72,90,.444,5.42,162,162,154,8,2,1,30,1437.2,1596,944,865,234,598,25,1064,60,3,55,6455,92,5.14,1.526,10.0,1.5,3.7,6.7,1.78,1198
KCR,24,25.8,5.74,77,85,.475,5.48,162,162,152,10,6,3,29,1439.1,1585,930,876,239,693,35,927,42,5,77,6443,93,5.54,1.583,9.9,1.5,4.3,5.8,1.34,1195
LAD,21,29.5,4.50,86,76,.531,4.10,162,162,153,9,11,3,36,1445.0,1379,729,659,176,600,22,1154,75,6,60,6249,106,4.52,1.370,8.6,1.1,3.7,7.2,1.92,1185
