Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
ANA,16,29.0,4.53,92,70,.568,4.28,162,162,160,2,11,2,50,1454.1,1476,734,692,170,502,27,1164,44,7,61,6246,104,4.09,1.360,9.1,1.1,3.1,7.2,2.32,1149
ARI,25,29.3,5.55,51,111,.315,4.98,162,162,157,5,6,2,33,1436.0,1480,899,794,197,668,79,1153,75,8,71,6418,92,4.78,1.496,9.3,1.2,4.2,7.2,1.73,1211
ATL,21,30.1,4.12,96,66,.593,3.74,162,162,158,4,13,1,48,1450.0,1475,668,603,154,523,50,1025,27,6,36,6218,115,4.15,1.378,9.2,1.0,3.2,6.4,1.96,1200
BAL,22,27.4,5.12,78,84,.481,4.70,162,162,154,8,10,4,27,1455.1,1488,830,760,159,687,43,1090,62,9,68,6459,97,4.52,1.495,9.2,1.0,4.2,6.7,1.59,1263
BOS,26,32.5,4.74,98,64,.605,4.18,162,162,158,4,12,1,36,1451.1,1430,768,674,159,447,28,1132,92,1,39,6222,116,4.03,1.293,8.9,1.0,2.8,7.0,2.53,1100
CHC,19,29.1,4.10,89,73,.549,3.81,162,162,159,3,6,2,42,1465.1,1363,665,621,169,545,33,1346,76,9,50,6262,116,3.98,1.302,8.4,1.0,3.3,8.3,2.47,1201
CHW,22,28.2,5.13,83,79,.512,4.91,162,162,154,8,8,2,34,1432.1,1505,831,782,224,527,36,1013,48,3,43,6189,96,4.87,1.419,9.5,1.4,3.3,6.4,1.92,1061
CIN,22,28.5,5.60,76,86,.469,5.19,162,162,157,5,8,2,47,1443.2,1595,907,832,236,572,55,992,54,3,74,6451,82,5.10,1.501,9.9,1.5,3.6,6.2,1.73,1213
CLE,30,27.3,5.29,80,82,.494,4.81,162,162,154,8,8,3,32,1466.2,1553,857,784,201,579,47,1115,62,6,43,6450,91,4.62,1.454,9.5,1.2,3.6,6.8,1.93,1193
COL,25,28.8,5.70,68,94,.420,5.54,162,162,159,3,2,0,36,1435.1,1634,923,883,198,697,84,947,71,6,66,6535,89,5.13,1.624,10.2,1.2,4.4,5.9,1.36,1306
DET,18,27.5,5.21,72,90,.444,4.93,162,162,155,7,9,4,35,1439.2,1542,844,788,190,530,33,995,54,6,71,6296,91,4.60,1.439,9.6,1.2,3.3,6.2,1.88,1133
FLA,25,27.8,4.32,83,79,.512,4.10,162,162,156,6,14,3,53,1439.0,1395,700,655,166,513,61,1116,51,3,35,6110,101,4.17,1.326,8.7,1.0,3.2,7.0,2.18,1093
HOU,23,29.6,4.31,92,70,.568,4.05,162,162,160,2,13,2,47,1443.0,1416,698,650,174,525,61,1282,68,3,45,6201,107,4.07,1.345,8.8,1.1,3.3,8.0,2.44,1174
KCR,25,27.4,5.59,58,104,.358,5.15,162,162,156,6,3,2,25,1420.1,1638,905,813,208,518,49,887,56,10,60,6320,93,4.92,1.518,10.4,1.3,3.3,5.6,1.71,1154
LAD,22,29.5,4.22,93,69,.574,4.01,162,162,160,2,6,2,51,1453.1,1386,684,647,178,521,47,1066,54,2,43,6155,103,4.36,1.312,8.6,1.1,3.2,6.6,2.05,1111
MIL,22,27.2,4.70,67,94,.416,4.24,161,161,155,6,10,1,42,1442.0,1440,757,679,164,476,27,1098,51,5,59,6204,103,4.10,1.329,9.0,1.0,3.0,6.9,2.31,1121
MIN,18,28.2,4.41,92,70,.568,4.03,162,162,158,4,9,4,48,1476.0,1523,715,661,167,431,27,1123,54,1,45,6269,117,3.98,1.324,9.3,1.0,2.6,6.8,2.61,1126
MON,22,26.5,4.75,67,95,.414,4.33,162,162,151,11,11,4,31,1447.0,1477,769,696,191,582,78,1032,79,2,43,6307,105,4.71,1.423,9.2,1.2,3.6,6.4,1.77,1197
NYM,26,32.5,4.51,71,91,.438,4.09,162,162,160,2,6,2,31,1449.0,1452,731,658,156,592,70,977,49,8,30,6333,105,4.43,1.411,9.0,1.0,3.7,6.1,1.65,1255
NYY,23,32.9,4.99,101,61,.623,4.69,162,162,161,1,5,0,59,1443.2,1532,808,752,182,445,32,1058,60,4,57,6240,96,4.27,1.369,9.6,1.1,2.8,6.6,2.38,1101
OAK,17,28.4,4.58,91,71,.562,4.17,162,162,152,10,8,3,35,1471.1,1466,742,682,164,544,49,1034,68,5,39,6313,109,4.34,1.366,9.0,1.0,3.3,6.3,1.90,1157
PHI,21,29.8,4.82,86,76,.531,4.45,162,162,158,4,5,4,43,1462.2,1488,781,724,214,502,60,1070,66,3,40,6308,101,4.65,1.361,9.2,1.3,3.1,6.6,2.13,1139
PIT,22,27.7,4.62,72,89,.447,4.29,161,161,158,3,8,2,46,1428.0,1451,744,680,149,576,64,1079,63,3,45,6197,100,4.24,1.419,9.1,0.9,3.6,6.8,1.87,1169
SDP,24,30.0,4.35,87,75,.537,4.03,162,162,159,3,8,2,44,1441.0,1460,705,645,184,422,39,1079,48,2,27,6135,97,4.19,1.306,9.1,1.1,2.6,6.7,2.56,1107
SEA,23,30.4,5.08,63,99,.389,4.76,162,162,155,7,7,2,28,1459.1,1498,823,772,212,575,32,1036,72,7,45,6389,95,4.85,1.421,9.2,1.3,3.5,6.4,1.80,1188
SFG,22,30.1,4.75,91,71,.562,4.29,162,162,154,8,8,5,46,1457.0,1481,770,695,161,548,35,1020,47,2,52,6321,101,4.31,1.393,9.1,1.0,3.4,6.3,1.86,1180
STL,20,30.1,4.07,105,57,.648,3.75,162,162,158,4,12,2,57,1453.2,1378,659,605,169,440,24,1041,67,4,42,6104,113,4.17,1.251,8.5,1.0,2.7,6.4,2.37,1084
TBD,24,27.5,5.23,70,91,.435,4.81,161,161,158,3,5,0,35,1417.0,1459,842,757,192,580,35,923,93,7,55,6261,94,4.93,1.439,9.3,1.2,3.7,5.9,1.59,1168
TEX,30,30.6,4.90,89,73,.549,4.53,162,162,157,5,9,2,52,1439.2,1536,794,724,182,547,29,979,81,11,34,6345,111,4.64,1.447,9.6,1.1,3.4,6.1,1.79,1232
TOR,25,28.6,5.11,67,94,.416,4.91,161,161,155,6,11,4,37,1421.0,1505,823,775,181,608,47,956,58,11,60,6281,98,4.77,1.487,9.5,1.1,3.9,6.1,1.57,1195
LgAvg,21,29.1,4.81,81,81,.500,4.46,162,162,157,5,,,41,1446,1484,779,716,182,541,46,1061,62,5,49,6285,101,4.46,1.400,9.2,1.1,3.4,6.6,1.96,1166
,632,29.1,4.81,2428,2428,.500,4.46,4856,4856,4706,150,,,1230,43394.0,44522,23376,21483,5451,16222,1381,31828,1850,157,1478,188539,101,4.46,1.400,9.2,1.1,3.4,6.6,1.96,34981
