Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
ANA,20,31.5,5.10,70,92,.432,4.79,162,162,158,4,7,0,37,1431.1,1472,826,762,177,624,17,877,56,5,65,6258,101,4.94,1.464,9.3,1.1,3.9,5.5,1.41,1138
ARI,20,30.6,4.17,100,62,.617,3.77,162,162,146,16,9,4,42,1467.1,1387,676,615,176,543,48,1198,49,10,39,6233,122,4.27,1.315,8.5,1.1,3.3,7.3,2.21,1155
ATL,22,28.6,4.08,103,59,.636,3.63,162,162,153,9,9,1,45,1471.0,1398,661,593,142,507,55,1197,26,3,34,6218,123,3.85,1.295,8.6,0.9,3.1,7.3,2.36,1144
BAL,21,30.1,5.03,78,84,.481,4.77,162,162,145,17,11,4,33,1435.0,1468,815,760,198,647,34,982,49,6,55,6259,97,5.01,1.474,9.2,1.2,4.1,6.2,1.52,1139
BOS,25,30.1,4.43,94,68,.580,4.00,162,162,156,6,12,1,50,1436.2,1396,718,638,160,469,25,1131,55,0,28,6120,126,4.10,1.298,8.7,1.0,2.9,7.1,2.41,1092
CHC,25,28.8,5.68,67,95,.414,5.27,162,162,151,11,6,3,32,1430.2,1619,920,837,221,529,48,980,27,9,59,6359,86,4.94,1.501,10.2,1.4,3.3,6.2,1.85,1147
CHW,21,26.4,5.37,75,86,.466,4.92,162,162,156,6,3,1,39,1438.1,1608,870,786,210,596,31,968,61,9,60,6452,100,5.06,1.532,10.1,1.3,3.7,6.1,1.62,1267
CIN,17,28.0,4.36,96,67,.589,3.98,163,163,157,6,11,3,55,1462.0,1309,711,647,190,636,46,1081,45,3,65,6221,117,4.74,1.330,8.1,1.2,3.9,6.7,1.70,1124
CLE,25,30.6,5.31,97,65,.599,4.89,162,162,159,3,6,1,46,1450.1,1503,860,788,197,634,55,1120,54,3,54,6374,102,4.78,1.473,9.3,1.2,3.9,7.0,1.77,1163
COL,18,28.9,6.35,72,90,.444,6.01,162,162,150,12,2,1,33,1429.0,1700,1028,955,237,737,46,1032,60,3,70,6574,97,5.52,1.705,10.7,1.5,4.6,6.5,1.40,1259
DET,21,27.6,5.48,69,92,.429,5.17,161,161,157,4,6,2,33,1421.0,1528,882,817,209,583,26,976,70,4,43,6286,94,5.05,1.486,9.7,1.3,3.7,6.2,1.67,1141
FLA,21,26.0,5.26,64,98,.395,4.90,162,162,156,6,5,2,33,1435.2,1560,852,781,171,655,54,943,54,12,46,6389,88,4.85,1.543,9.8,1.1,4.1,5.9,1.44,1230
