Rk,Tm,Lg,G,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,STL,NL,162,100,62,.617,4.0,3.2,0.8,-0.3,0.5,96-66,4,11-9,55-26,45-36,8-8,32-23,75-44,25-18,46-31,54-31
2,PIT,NL,162,98,64,.605,4.3,3.7,0.6,-0.3,0.3,93-69,5,13-7,53-28,45-36,12-9,36-17,78-48,20-16,42-32,56-32
3,CHC,NL,162,97,65,.599,4.3,3.8,0.5,-0.3,0.2,90-72,7,10-10,49-32,48-33,13-5,34-21,77-51,20-14,44-32,53-33
4,KCR,AL,162,95,67,.586,4.5,4.0,0.5,0.2,0.7,90-72,5,13-7,51-30,44-37,10-6,23-17,64-40,31-27,47-43,48-24
5,TOR,AL,162,93,69,.574,5.5,4.1,1.4,0.2,1.6,102-60,-9,12-8,53-28,40-41,8-6,15-28,73-54,20-15,53-33,40-36
6,LAD,NL,162,92,70,.568,4.1,3.7,0.4,-0.3,0.1,89-73,3,10-10,55-26,37-44,6-9,23-26,67-51,25-19,28-37,64-33
7,NYM,NL,162,90,72,.556,4.2,3.8,0.4,-0.4,0.0,89-73,1,9-11,49-32,41-40,9-6,25-24,70-56,20-16,28-38,62-34
8,TEX,AL,162,88,74,.543,4.6,4.5,0.1,0.2,0.4,83-79,5,11-9,43-38,45-36,5-4,27-22,53-43,35-31,48-36,40-38
9,NYY,AL,162,87,75,.537,4.7,4.3,0.4,0.3,0.8,88-74,-1,11-9,45-36,42-39,4-9,23-24,60-52,27-23,40-47,47-28
10,HOU,AL,162,86,76,.531,4.5,3.8,0.7,0.2,0.9,93-69,-7,16-4,53-28,33-48,8-6,21-29,56-45,30-31,42-43,44-33
11,LAA,AL,162,85,77,.525,4.1,4.2,-0.1,0.3,0.2,79-83,6,8-12,49-32,36-45,5-7,35-17,60-55,25-22,38-48,47-29
12,SFG,NL,162,84,78,.518,4.3,3.9,0.4,-0.3,0.1,89-73,-5,13-7,47-34,37-44,6-5,19-28,62-56,22-22,29-33,55-45
13,WSN,NL,162,83,79,.512,4.3,3.9,0.4,-0.4,0.0,89-73,-6,8-12,46-35,37-44,9-2,22-22,60-63,23-16,28-37,55-42
14,MIN,AL,162,83,79,.512,4.3,4.3,0.0,0.2,0.2,81-81,2,8-12,46-35,37-44,6-8,21-20,55-53,28-26,42-46,41-33
15,CLE,AL,161,81,80,.503,4.2,4.0,0.2,0.2,0.4,84-77,-3,12-8,39-41,42-39,5-4,15-18,57-49,24-31,41-46,40-34
16,BAL,AL,162,81,81,.500,4.4,4.3,0.1,0.4,0.5,83-79,-2,12-8,47-31,34-50,6-5,25-26,59-58,22-23,37-51,44-30
17,TBR,AL,162,80,82,.494,4.0,4.0,0.0,0.4,0.4,81-81,-1,14-6,42-42,38-40,2-13,26-30,50-59,30-23,46-58,34-24
18,ARI,NL,162,79,83,.488,4.4,4.4,0.0,-0.3,-0.2,82-80,-3,11-9,39-42,40-41,9-9,20-24,60-61,19-22,32-53,47-30
19,BOS,AL,162,78,84,.481,4.6,4.6,0.0,0.4,0.3,81-81,-3,13-7,43-38,35-46,7-7,20-19,57-59,21-25,44-59,34-25
20,SEA,AL,162,76,86,.469,4.0,4.5,-0.4,0.3,-0.1,74-88,2,8-12,36-45,40-41,10-13,28-29,54-54,22-32,44-58,32-28
21,CHW,AL,162,76,86,.469,3.8,4.3,-0.5,0.3,-0.2,72-90,4,9-11,40-41,36-45,13-5,29-30,58-68,18-18,49-61,27-25
22,DET,AL,161,74,87,.460,4.3,5.0,-0.7,0.3,-0.4,69-92,5,9-11,38-43,36-44,9-8,26-22,53-70,21-17,51-59,23-28
23,SDP,NL,162,74,88,.457,4.0,4.5,-0.5,-0.2,-0.7,72-90,2,7-13,39-42,35-46,7-5,22-21,55-67,19-21,33-50,41-38
24,MIA,NL,162,71,91,.438,3.8,4.2,-0.4,-0.3,-0.7,74-88,-3,7-13,41-40,30-51,6-3,23-21,57-72,14-19,33-47,38-44
25,MIL,NL,162,68,94,.420,4.0,4.5,-0.5,-0.2,-0.7,72-90,-4,8-12,34-47,34-47,4-5,16-16,49-74,19-20,36-61,32-33
26,OAK,AL,162,68,94,.420,4.3,4.5,-0.2,0.3,0.1,77-85,-9,11-9,34-47,34-47,7-10,19-35,53-62,15-32,45-62,23-32
27,COL,NL,162,68,94,.420,4.5,5.2,-0.7,-0.2,-0.9,71-91,-3,5-15,36-45,32-49,3-5,20-24,57-62,11-32,29-53,39-41
28,ATL,NL,162,67,95,.414,3.5,4.7,-1.2,-0.2,-1.4,61-101,6,6-14,42-39,25-56,4-9,28-18,54-72,13-23,29-53,38-42
29,CIN,NL,162,64,98,.395,4.0,4.7,-0.7,-0.1,-0.8,69-93,-5,7-13,34-47,30-51,5-12,18-29,49-71,15-27,35-62,29-36
30,PHI,NL,162,63,99,.389,3.9,5.0,-1.1,-0.2,-1.4,62-100,1,8-12,37-44,26-55,6-9,16-27,45-79,18-20,29-54,34-45
,Avg,,,80,80,.500,4.2,4.3,,,,81-80,,10-10,43-37,37-43,7-7,23-23,59-58,21-22,38-47,42-33
