Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
ARI,29,26.4,5.49,69,93,.426,5.09,162,162,160,2,7,2,31,1451.1,1563,890,821,202,603,57,1318,57,7,69,6437,88,4.50,1.492,9.7,1.3,3.7,8.2,2.19,1193
ATL,35,26.4,4.84,68,93,.422,4.51,161,161,160,1,9,1,39,1447.2,1414,779,725,177,547,55,1227,70,4,83,6250,92,4.32,1.355,8.8,1.1,3.4,7.6,2.24,1128
BAL,27,27.9,4.41,89,73,.549,4.22,162,162,161,1,9,0,54,1432.0,1408,715,671,183,545,23,1248,51,3,59,6122,102,4.31,1.364,8.8,1.2,3.4,7.8,2.29,1111
BOS,25,29.0,4.28,93,69,.574,4.00,162,162,153,9,5,1,43,1439.2,1342,694,640,176,490,16,1362,65,0,52,6073,112,4.00,1.273,8.4,1.1,3.1,8.5,2.78,1060
CHC,26,29.9,3.43,103,58,.640,3.15,162,162,157,5,15,2,38,1459.2,1125,556,511,163,495,24,1441,63,0,80,5933,129,3.77,1.110,6.9,1.0,3.1,8.9,2.91,998
CHW,28,28.6,4.41,78,84,.481,4.10,162,162,155,7,10,1,43,1446.2,1422,715,659,185,521,30,1270,68,2,72,6196,99,4.27,1.343,8.8,1.2,3.2,7.9,2.44,1141
CIN,32,27.1,5.27,68,94,.420,4.91,162,162,160,2,8,1,28,1442.0,1457,854,786,258,636,31,1241,78,12,61,6348,88,5.24,1.451,9.1,1.6,4.0,7.7,1.95,1168
CLE,27,28.1,4.20,94,67,.584,3.84,161,161,156,5,11,3,37,1445.0,1330,676,617,186,461,34,1398,34,7,49,6033,121,3.91,1.239,8.3,1.2,2.9,8.7,3.03,1022
COL,25,27.7,5.31,75,87,.463,4.91,162,162,160,2,9,2,37,1429.1,1532,860,779,181,547,38,1223,70,5,72,6289,99,4.38,1.455,9.6,1.1,3.4,7.7,2.24,1141
DET,23,29.0,4.48,86,75,.534,4.24,161,161,158,3,8,1,47,1428.0,1417,721,672,182,462,25,1232,51,4,44,6048,99,4.16,1.316,8.9,1.1,2.9,7.8,2.67,1043
HOU,23,28.9,4.33,84,78,.519,4.06,162,162,160,2,8,1,44,1468.0,1441,701,663,181,453,19,1396,39,2,98,6180,96,3.85,1.290,8.8,1.1,2.8,8.6,3.08,1075
KCR,21,29.9,4.40,81,81,.500,4.21,162,162,159,3,7,0,41,1440.0,1433,712,674,206,517,8,1287,60,7,55,6182,103,4.42,1.354,9.0,1.3,3.2,8.0,2.49,1150
LAA,30,28.4,4.49,74,88,.457,4.28,162,162,158,4,12,3,29,1421.1,1480,727,676,208,498,27,1136,56,10,47,6120,96,4.62,1.392,9.4,1.3,3.2,7.2,2.28,1129
LAD,31,28.9,3.94,91,71,.562,3.70,162,162,159,3,15,3,47,1453.0,1266,638,598,165,464,51,1510,53,5,58,6014,108,3.61,1.191,7.8,1.0,2.9,9.4,3.25,1017
MIA,31,28.0,4.24,79,82,.491,4.05,161,161,161,0,12,0,55,1435.0,1358,682,646,152,595,62,1379,61,3,66,6164,99,3.97,1.361,8.5,1.0,3.7,8.6,2.32,1177
MIL,27,28.1,4.52,73,89,.451,4.08,162,162,162,0,7,0,46,1434.1,1450,733,650,178,532,33,1175,66,2,48,6188,106,4.37,1.382,9.1,1.1,3.3,7.4,2.21,1152
MIN,29,28.3,5.49,59,103,.364,5.08,162,162,158,4,3,1,26,1443.0,1617,889,814,221,479,26,1191,41,7,83,6314,83,4.57,1.453,10.1,1.4,3.0,7.4,2.49,1096
NYM,22,28.4,3.81,87,75,.537,3.57,162,162,161,1,13,1,55,1447.0,1397,617,574,152,439,39,1396,35,7,50,6067,113,3.56,1.269,8.7,0.9,2.7,8.7,3.18,1109
NYY,29,27.9,4.33,84,78,.519,4.16,162,162,162,0,10,0,48,1428.1,1358,702,660,214,444,15,1393,57,2,52,6023,105,4.20,1.262,8.6,1.3,2.8,8.8,3.14,1036
OAK,27,27.9,4.70,69,93,.426,4.51,162,162,160,2,7,1,42,1433.1,1459,761,718,185,464,28,1188,50,3,70,6144,89,4.24,1.342,9.2,1.2,2.9,7.5,2.56,1083
PHI,27,26.3,4.91,71,91,.438,4.63,162,162,158,4,12,3,43,1437.0,1468,796,739,213,466,30,1299,51,9,57,6164,91,4.34,1.346,9.2,1.3,2.9,8.1,2.79,1057
PIT,32,28.6,4.68,78,83,.484,4.21,162,162,157,5,5,1,51,1450.2,1490,758,679,180,533,28,1232,68,7,71,6292,99,4.30,1.395,9.2,1.1,3.3,7.6,2.31,1182
SDP,32,28.1,4.75,68,94,.420,4.43,162,162,161,1,9,0,35,1440.0,1425,770,708,183,569,44,1222,53,3,67,6228,92,4.40,1.385,8.9,1.1,3.6,7.6,2.15,1138
SEA,32,28.8,4.36,86,76,.531,4.00,162,162,160,2,8,2,49,1457.0,1410,707,647,213,460,30,1318,55,7,52,6147,104,4.30,1.283,8.7,1.3,2.8,8.1,2.87,1069
SFG,24,30.0,3.90,87,75,.537,3.65,162,162,152,10,11,3,43,1460.1,1334,631,593,158,439,30,1309,46,6,40,6049,109,3.76,1.214,8.2,1.0,2.7,8.1,2.98,1037
STL,21,28.0,4.40,86,76,.531,4.08,162,162,160,2,10,2,38,1448.1,1432,712,656,159,475,35,1290,52,1,50,6164,99,3.88,1.317,8.9,1.0,3.0,8.0,2.72,1107
TBR,25,26.9,4.40,68,94,.420,4.20,162,162,161,1,8,1,42,1426.1,1395,713,665,210,491,25,1357,32,7,61,6076,96,4.26,1.322,8.8,1.3,3.1,8.6,2.76,1084
TEX,31,28.8,4.67,95,67,.586,4.37,162,162,161,1,6,0,56,1443.0,1441,757,700,201,534,16,1154,53,5,45,6186,102,4.58,1.369,9.0,1.3,3.3,7.2,2.16,1100
TOR,29,29.8,4.11,89,73,.549,3.78,162,162,162,0,10,0,43,1459.1,1340,666,613,183,461,10,1314,59,7,50,6113,113,4.04,1.234,8.3,1.1,2.8,8.1,2.85,1069
WSN,24,29.1,3.78,95,67,.586,3.51,162,162,161,1,12,0,46,1459.2,1272,612,570,155,468,43,1476,57,4,47,6036,119,3.58,1.192,7.8,1.0,2.9,9.1,3.15,1045
LgAvg,25,28.3,4.48,81,81,.500,4.18,162,162,159,3,,,43,1444,1409,725,671,187,503,31,1299,55,5,60,6153,101,4.19,1.325,8.8,1.2,3.1,8.1,2.58,1097
,742,28.3,4.48,2427,2427,.500,4.18,4856,4856,4773,83,,,1276,43306.1,42276,21744,20124,5610,15088,932,38982,1651,148,1808,184580,101,4.19,1.325,8.8,1.2,3.1,8.1,2.58,32917
