Rk,Tm,Lg,G,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,NYM,NL,162,97,65,.599,5.1,4.5,0.6,-0.3,0.3,91-71,6,6-9,50-31,47-34,9-5,31-16,72-43,25-22,33-24,64-41
2,NYY,AL,162,97,65,.599,5.7,4.7,1.0,0.2,1.2,95-67,2,10-8,50-31,47-34,7-3,24-22,66-48,31-17,45-39,52-26
3,MIN,AL,162,96,66,.593,4.9,4.2,0.7,0.3,1.1,93-69,3,16-2,54-27,42-39,10-4,20-11,62-40,34-26,41-38,55-28
4,DET,AL,162,95,67,.586,5.1,4.2,0.9,0.3,1.2,95-67,0,15-3,46-35,49-32,4-8,24-20,62-47,33-20,40-40,55-27
5,OAK,AL,162,93,69,.574,4.8,4.5,0.3,0.4,0.7,85-77,8,8-10,49-32,44-37,9-4,32-22,70-51,23-18,42-37,51-32
6,CHW,AL,162,90,72,.556,5.4,4.9,0.5,0.4,0.8,88-74,2,14-4,49-32,41-40,7-8,24-21,59-38,31-34,44-36,46-36
7,LAA,AL,162,89,73,.549,4.7,4.5,0.2,0.4,0.6,84-78,5,7-11,45-36,44-37,8-7,25-22,59-52,30-21,39-38,50-35
8,SDP,NL,162,88,74,.543,4.5,4.2,0.3,-0.3,0.0,86-76,2,7-8,43-38,45-36,10-12,30-22,71-57,17-17,30-19,58-55
9,LAD,NL,162,88,74,.543,5.1,4.6,0.4,-0.3,0.1,88-74,0,5-10,49-32,39-42,3-8,20-20,69-58,19-16,19-38,69-36
10,TOR,AL,162,87,75,.537,5.0,4.7,0.3,0.3,0.6,86-76,1,9-9,50-31,37-44,7-1,20-10,59-56,28-19,45-40,42-35
11,BOS,AL,162,86,76,.531,5.1,5.1,0.0,0.3,0.3,81-81,5,16-2,48-33,38-43,5-7,29-20,61-45,25-31,37-44,49-32
12,PHI,NL,162,85,77,.525,5.3,5.0,0.3,-0.3,0.0,86-76,-1,5-13,41-40,44-37,5-11,22-23,62-55,23-22,23-33,62-44
13,STL,NL,161,83,78,.515,4.9,4.7,0.1,-0.5,-0.4,82-79,1,5-10,49-31,34-47,5-6,22-27,60-44,23-34,21-26,62-52
14,HOU,NL,162,82,80,.506,4.5,4.4,0.1,-0.4,-0.3,83-79,-1,7-11,44-37,38-43,5-10,25-21,60-64,22-16,21-28,61-52
15,TEX,AL,162,80,82,.494,5.2,4.8,0.3,0.4,0.7,86-76,-6,7-11,39-42,41-40,2-5,17-26,58-59,22-23,46-55,34-27
16,CIN,NL,162,80,82,.494,4.6,4.9,-0.3,-0.4,-0.7,76-86,4,6-9,42-39,38-43,5-8,27-20,56-58,24-24,27-34,53-48
17,ATL,NL,162,79,83,.488,5.2,5.0,0.3,-0.3,0.0,85-77,-6,5-10,40-41,39-42,8-3,19-33,61-60,18-23,32-41,47-42
18,FLA,NL,162,78,84,.481,4.7,4.8,-0.1,-0.3,-0.4,80-82,-2,9-9,42-39,36-45,5-7,20-26,58-56,20-28,27-45,51-39
19,CLE,AL,162,78,84,.481,5.4,4.8,0.5,0.4,0.9,89-73,-11,8-10,44-37,34-47,5-3,18-26,53-52,25-32,45-53,33-31
20,SEA,AL,162,78,84,.481,4.7,4.9,-0.2,0.4,0.2,78-84,0,14-4,44-37,34-47,8-8,20-24,59-60,19-24,41-57,37-27
21,SFG,NL,161,76,85,.472,4.6,4.9,-0.3,-0.2,-0.5,76-85,0,8-7,43-38,33-47,6-7,23-22,61-63,15-22,33-37,43-48
22,ARI,NL,162,76,86,.469,4.8,4.9,-0.1,-0.3,-0.3,80-82,-4,4-11,39-42,37-44,7-5,22-26,55-67,21-19,31-41,45-45
23,COL,NL,162,76,86,.469,5.0,5.0,0.0,-0.3,-0.2,81-81,-5,11-4,44-37,32-49,8-4,19-25,59-74,17-12,31-44,45-42
24,MIL,NL,162,75,87,.463,4.5,5.1,-0.6,-0.4,-1.0,71-91,4,6-9,48-33,27-54,7-2,27-27,56-67,19-20,28-37,47-50
25,WSN,NL,162,71,91,.438,4.6,5.4,-0.8,-0.2,-1.0,70-92,1,7-11,41-40,30-51,7-6,23-20,47-68,24-23,28-45,43-46
26,BAL,AL,162,70,92,.432,4.7,5.5,-0.8,0.4,-0.4,69-93,1,9-9,40-41,30-51,3-6,22-20,54-59,16-33,36-64,34-28
27,PIT,NL,162,67,95,.414,4.3,4.9,-0.7,-0.4,-1.0,70-92,-3,3-12,43-38,24-57,5-7,24-31,54-59,13-36,23-48,44-47
28,CHC,NL,162,66,96,.407,4.4,5.1,-0.7,-0.3,-1.1,70-92,-4,4-11,36-45,30-51,4-7,15-26,44-66,22-30,29-43,37-53
29,KCR,AL,162,62,100,.383,4.7,6.0,-1.3,0.6,-0.8,63-99,-1,10-8,34-47,28-53,6-6,14-24,49-64,13-36,40-69,22-31
30,TBD,AL,162,61,101,.377,4.3,5.3,-1.0,0.4,-0.6,65-97,-4,11-7,41-40,20-61,5-7,17-22,44-72,17-29,34-63,27-38
,Avg,,,80,80,.500,4.9,4.9,,,,81-80,,8-8,44-36,36-44,6-6,22-22,58-56,22-24,33-41,47-39
