Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
ANA,21,28.3,4.90,84,78,.519,4.52,162,162,153,9,5,3,39,1454.2,1506,794,730,202,605,34,1050,54,9,57,6365,104,4.83,1.451,9.3,1.2,3.7,6.5,1.74,1207
ATL,17,28.5,3.59,101,61,.623,3.18,162,162,141,21,17,10,37,1465.2,1319,581,518,111,450,56,1196,31,4,38,6057,131,3.45,1.207,8.1,0.7,2.8,7.3,2.66,1079
BAL,17,30.7,4.20,98,64,.605,3.91,162,162,154,8,10,4,59,1461.0,1404,681,635,164,563,31,1139,30,4,43,6219,113,4.23,1.346,8.6,1.0,3.5,7.0,2.02,1155
BOS,25,27.8,5.29,78,84,.481,4.85,162,162,155,7,4,3,40,1451.2,1569,857,782,149,611,52,987,70,1,51,6440,97,4.49,1.502,9.7,0.9,3.8,6.1,1.62,1228
CHC,21,28.2,4.69,68,94,.420,4.44,162,162,156,6,4,2,37,1429.0,1451,759,705,185,590,51,1072,43,8,35,6226,97,4.62,1.428,9.1,1.2,3.7,6.8,1.82,1180
CHW,22,29.4,5.17,80,81,.497,4.73,161,161,155,6,7,1,52,1422.1,1505,833,748,175,575,45,961,32,9,71,6262,93,4.64,1.462,9.5,1.1,3.6,6.1,1.67,1162
CIN,25,29.6,4.72,76,86,.469,4.41,162,162,157,5,8,0,49,1449.0,1408,764,710,173,558,62,1159,77,7,64,6264,98,4.38,1.357,8.7,1.1,3.5,7.2,2.08,1153
CLE,21,29.7,5.06,86,75,.534,4.73,161,161,157,4,3,1,39,1425.2,1528,815,749,181,575,53,1036,51,3,59,6260,99,4.62,1.475,9.6,1.1,3.6,6.5,1.80,1168
COL,23,27.9,5.60,83,79,.512,5.25,162,162,153,9,5,3,38,1432.2,1697,908,836,196,566,23,870,67,6,50,6417,99,5.00,1.580,10.7,1.2,3.6,5.5,1.54,1211
DET,20,27.5,4.88,79,83,.488,4.56,162,162,149,13,8,5,42,1445.2,1476,790,732,178,552,33,982,43,3,51,6246,101,4.59,1.403,9.2,1.1,3.4,6.1,1.78,1119
FLA,20,27.5,4.13,92,70,.568,3.83,162,162,150,12,10,4,39,1446.2,1353,669,615,131,639,41,1188,63,4,41,6223,106,4.10,1.377,8.4,0.8,4.0,7.4,1.86,1214
HOU,18,27.0,4.07,84,78,.519,3.66,162,162,146,16,12,7,37,1459.0,1379,660,594,134,511,25,1138,52,9,46,6166,109,3.90,1.295,8.5,0.8,3.2,7.0,2.23,1129
KCR,25,27.6,5.09,67,94,.416,4.70,161,161,150,11,5,2,29,1443.0,1530,820,753,186,531,42,961,54,6,62,6277,100,4.67,1.428,9.5,1.2,3.3,6.0,1.81,1128
LAD,16,28.8,3.98,88,74,.543,3.62,162,162,156,6,6,1,45,1459.1,1325,645,587,163,546,36,1232,45,14,36,6191,107,4.09,1.282,8.2,1.0,3.4,7.6,2.26,1168
MIL,21,28.3,4.61,78,83,.484,4.22,161,161,155,6,8,3,44,1427.1,1419,742,669,177,542,25,1016,61,5,46,6120,111,4.56,1.374,8.9,1.1,3.4,6.4,1.87,1096
MIN,18,28.1,5.31,68,94,.420,5.00,162,162,152,10,4,3,30,1434.0,1596,861,796,187,495,31,908,33,6,66,6250,92,4.64,1.458,10.0,1.2,3.1,5.7,1.83,1087
MON,21,26.4,4.57,78,84,.481,4.14,162,162,135,27,14,12,37,1447.0,1365,740,665,149,557,45,1138,63,4,52,6189,101,4.16,1.328,8.5,0.9,3.5,7.1,2.04,1108
NYM,21,29.4,4.38,88,74,.543,3.95,162,162,155,7,8,3,49,1459.1,1452,709,640,160,504,43,982,47,7,47,6210,104,4.32,1.340,9.0,1.0,3.1,6.1,1.95,1123
NYY,18,29.6,4.25,96,66,.593,3.84,162,162,151,11,10,3,51,1467.2,1463,688,626,144,532,41,1165,45,10,62,6279,117,3.98,1.359,9.0,0.9,3.3,7.1,2.19,1188
OAK,26,27.8,5.84,65,97,.401,5.48,162,162,160,2,1,0,38,1445.1,1734,946,880,197,642,54,953,64,4,51,6600,81,5.03,1.644,10.8,1.2,4.0,5.9,1.48,1318
PHI,23,27.9,5.19,68,94,.420,4.85,162,162,149,13,7,3,35,1420.1,1441,840,765,171,616,42,1209,58,12,73,6228,88,4.40,1.448,9.1,1.1,3.9,7.7,1.96,1127
