Rk,Tm,Lg,G,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,STL,NL,162,100,62,.617,5.0,3.9,1.1,-0.3,0.7,98-64,2,10-5,50-31,50-31,5-3,21-25,68-42,32-20,47-30,53-32
2,CHW,AL,162,99,63,.611,4.6,4.0,0.6,0.1,0.7,91-71,8,12-6,47-34,52-29,11-8,35-19,76-43,23-20,39-33,60-30
3,NYY,AL,162,95,67,.586,5.5,4.9,0.6,0.3,0.9,90-72,5,11-7,53-28,42-39,4-4,27-16,65-44,30-23,36-33,59-34
4,LAA,AL,162,95,67,.586,4.7,4.0,0.7,0.3,1.0,93-69,2,12-6,49-32,46-35,9-10,33-26,70-42,25-25,44-35,51-32
5,BOS,AL,162,95,67,.586,5.6,5.0,0.6,0.3,0.9,90-72,5,12-6,54-27,41-40,6-2,27-15,66-45,29-22,39-28,56-39
6,CLE,AL,162,93,69,.574,4.9,4.0,0.9,0.0,1.0,96-66,-3,15-3,43-38,50-31,6-8,22-36,67-45,26-24,31-40,62-29
7,ATL,NL,162,90,72,.556,4.7,4.2,0.6,-0.1,0.5,91-71,-1,7-8,53-28,37-44,6-7,23-20,68-56,22-16,57-51,33-21
8,HOU,NL,163,89,73,.549,4.3,3.7,0.5,-0.2,0.3,91-71,-2,7-8,53-28,36-45,4-4,25-21,64-49,25-24,39-35,50-38
9,PHI,NL,162,88,74,.543,5.0,4.5,0.5,-0.1,0.4,89-73,-1,7-8,46-35,42-39,6-4,21-23,59-55,29-19,54-54,34-20
10,OAK,AL,162,88,74,.543,4.8,4.1,0.7,0.3,1.0,93-69,-5,10-8,45-36,43-38,10-4,26-24,60-56,28-18,37-41,51-33
11,FLA,NL,162,83,79,.512,4.4,4.5,-0.1,-0.1,-0.2,79-83,4,10-5,45-36,38-43,5-9,20-23,62-63,21-16,47-56,36-23
12,MIN,AL,162,83,79,.512,4.2,4.1,0.2,0.2,0.3,84-78,-1,8-10,45-36,38-43,15-8,27-30,59-55,24-24,33-45,50-34
13,NYM,NL,162,83,79,.512,4.5,4.0,0.5,-0.1,0.4,89-73,-6,5-10,48-33,35-46,8-6,21-24,65-58,18-21,57-58,26-21
14,SDP,NL,162,82,80,.506,4.2,4.5,-0.3,-0.5,-0.7,77-85,5,7-11,46-35,36-45,9-8,29-20,61-57,21-23,31-29,51-51
15,MIL,NL,162,81,81,.500,4.5,4.3,0.2,-0.2,0.0,84-78,-3,8-7,46-35,35-46,3-8,21-21,54-61,27-20,36-47,45-34
16,WSN,NL,162,81,81,.500,3.9,4.2,-0.2,0.0,-0.2,77-85,4,12-6,41-40,40-41,6-11,30-31,58-58,23-23,48-60,33-21
17,TOR,AL,162,80,82,.494,4.8,4.4,0.4,0.2,0.7,88-74,-8,8-10,43-38,37-44,4-6,16-31,57-58,23-24,39-46,41-36
18,TEX,AL,162,79,83,.488,5.3,5.3,0.0,0.4,0.4,82-80,-3,9-9,44-37,35-46,7-8,24-29,65-58,14-25,41-58,38-25
19,CHC,NL,162,79,83,.488,4.3,4.4,-0.1,-0.1,-0.2,80-82,-1,6-9,38-43,41-40,5-5,26-20,55-56,24-27,46-55,33-28
20,ARI,NL,162,77,85,.475,4.3,5.3,-1.0,-0.4,-1.4,66-96,11,8-10,36-45,41-40,8-7,28-18,59-62,18-23,31-48,46-37
21,SFG,NL,162,75,87,.463,4.0,4.6,-0.6,-0.4,-1.0,71-91,4,6-12,37-44,38-43,4-7,27-25,51-67,24-20,30-50,45-37
22,BAL,AL,162,74,88,.457,4.5,4.9,-0.4,0.3,-0.1,74-88,0,8-10,36-45,38-43,2-6,14-25,49-58,25-30,31-51,43-37
23,CIN,NL,163,73,89,.451,5.0,5.5,-0.4,-0.1,-0.5,75-87,-2,7-8,42-39,31-50,5-2,21-18,49-60,24-29,37-61,36-28
24,LAD,NL,162,71,91,.438,4.2,4.7,-0.4,-0.5,-0.9,74-88,-3,5-13,40-41,31-50,7-5,20-23,55-69,16-22,36-44,35-47
25,DET,AL,162,71,91,.438,4.5,4.9,-0.4,0.2,-0.2,75-87,-4,9-9,39-42,32-49,8-3,22-26,50-70,21-21,32-59,39-32
26,SEA,AL,162,69,93,.426,4.3,4.6,-0.3,0.4,0.1,76-86,-7,10-8,39-42,30-51,2-5,26-23,47-66,22-27,41-58,28-35
27,TBD,AL,162,67,95,.414,4.6,5.8,-1.1,0.4,-0.7,65-97,2,3-15,40-41,27-54,5-4,29-25,47-63,20-32,37-53,30-42
28,COL,NL,162,67,95,.414,4.6,5.3,-0.8,-0.4,-1.2,70-92,-3,6-9,40-41,27-54,4-4,25-24,49-70,18-25,27-48,40-47
29,PIT,NL,162,67,95,.414,4.2,4.7,-0.5,-0.2,-0.7,72-90,-5,5-7,34-47,33-48,4-8,15-28,48-68,19-27,36-58,31-37
30,KCR,AL,162,56,106,.346,4.3,5.8,-1.4,0.3,-1.1,60-102,-4,9-9,34-47,22-59,4-8,18-30,39-68,17-38,28-61,28-45
,Avg,,,81,81,.500,4.6,4.6,,,,81-80,,8-8,43-37,37-43,6-6,23-23,58-57,22-23,38-47,42-33
