Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
ATL,18,27.9,4.00,96,66,.593,3.52,162,162,148,14,9,3,46,1469.0,1372,648,575,120,451,64,1245,19,5,49,6132,125,3.50,1.241,8.4,0.7,2.8,7.6,2.76,1077
BAL,23,28.9,5.54,88,74,.543,5.14,163,163,150,13,1,1,44,1468.2,1604,903,839,209,597,35,1047,38,5,38,6460,96,4.89,1.499,9.8,1.3,3.7,6.4,1.75,1151
BOS,23,28.7,5.69,85,77,.525,4.98,162,162,145,17,5,3,37,1458.0,1606,921,807,185,722,41,1165,50,6,51,6633,101,4.81,1.597,9.9,1.1,4.5,7.2,1.61,1338
CAL,29,29.1,5.86,70,91,.435,5.30,161,161,149,12,8,3,38,1439.0,1546,943,847,219,662,47,1052,84,8,80,6461,93,5.24,1.534,9.7,1.4,4.1,6.6,1.59,1201
CHC,17,28.3,4.76,76,86,.469,4.36,162,162,152,10,10,5,34,1456.1,1447,771,705,184,546,55,1027,55,8,48,6268,99,4.64,1.369,8.9,1.1,3.4,6.3,1.88,1128
CHW,22,27.8,4.90,85,77,.525,4.52,162,162,155,7,4,1,43,1461.0,1529,794,733,174,616,60,1039,36,1,59,6405,105,4.64,1.468,9.4,1.1,3.8,6.4,1.69,1228
CIN,24,29.2,4.77,81,81,.500,4.32,162,162,156,6,8,5,52,1443.0,1447,773,692,167,591,66,1089,42,6,66,6277,98,4.48,1.412,9.0,1.0,3.7,6.8,1.84,1175
CLE,18,30.3,4.78,99,62,.615,4.34,161,161,148,13,9,3,46,1452.1,1530,769,700,173,484,42,1033,39,3,49,6245,112,4.38,1.387,9.5,1.1,3.0,6.4,2.13,1119
COL,21,28.8,5.95,83,79,.512,5.59,162,162,157,5,4,1,34,1422.2,1597,964,884,198,624,19,932,69,11,66,6391,93,5.13,1.561,10.1,1.3,3.9,5.9,1.49,1159
DET,27,26.7,6.81,53,109,.327,6.38,162,162,152,10,4,4,22,1432.2,1699,1103,1015,241,784,63,957,80,4,82,6713,80,5.83,1.733,10.7,1.5,4.9,6.0,1.22,1312
FLA,23,28.0,4.34,80,82,.494,3.95,162,162,154,8,13,4,41,1443.0,1386,703,634,113,598,49,1050,57,5,49,6183,103,4.10,1.375,8.6,0.7,3.7,6.5,1.76,1151
HOU,22,28.5,4.89,82,80,.506,4.37,162,162,149,13,4,3,35,1447.0,1541,792,702,154,539,60,1163,70,12,65,6364,88,4.21,1.437,9.6,1.0,3.4,7.2,2.16,1231
KCR,19,29.0,4.88,75,86,.466,4.55,161,161,144,17,8,5,35,1450.0,1563,786,733,176,460,32,926,56,4,56,6251,109,4.54,1.395,9.7,1.1,2.9,5.7,2.01,1115
LAD,15,28.2,4.02,90,72,.556,3.46,162,162,156,6,9,4,50,1466.1,1378,652,564,125,534,66,1212,39,22,39,6223,112,3.80,1.304,8.5,0.8,3.3,7.4,2.27,1172
MIL,24,27.2,5.55,80,82,.494,5.14,162,162,156,6,4,1,42,1447.1,1570,899,826,213,635,33,846,57,6,56,6437,101,5.35,1.523,9.8,1.3,3.9,5.3,1.33,1196
MIN,18,25.8,5.56,78,84,.481,5.28,162,162,149,13,5,3,31,1439.2,1561,900,844,233,581,27,959,41,3,49,6355,97,5.24,1.488,9.8,1.5,3.6,6.0,1.65,1136
MON,18,27.5,4.12,88,74,.543,3.78,162,162,151,11,7,3,43,1441.1,1353,668,605,152,482,33,1206,56,9,46,6119,115,3.99,1.273,8.4,0.9,3.0,7.5,2.50,1127
NYM,17,27.4,4.81,71,91,.438,4.22,162,162,152,10,10,3,41,1440.0,1517,779,675,159,532,73,999,44,12,60,6288,96,4.42,1.423,9.5,1.0,3.3,6.2,1.88,1189
NYY,24,29.3,4.86,92,70,.568,4.65,162,162,156,6,9,2,52,1440.0,1469,787,744,143,610,35,1139,49,5,55,6289,108,4.25,1.444,9.2,0.9,3.8,7.1,1.87,1182
OAK,20,27.1,5.56,78,84,.481,5.20,162,162,155,7,5,3,34,1456.1,1638,900,841,205,644,61,884,52,6,60,6505,98,5.22,1.567,10.1,1.3,4.0,5.5,1.37,1236
PHI,25,27.7,4.88,67,95,.414,4.48,162,162,150,12,6,3,42,1423.1,1463,790,708,160,510,49,1044,35,7,71,6138,96,4.32,1.386,9.3,1.0,3.2,6.6,2.05,1078
PIT,25,27.9,5.14,73,89,.451,4.61,162,162,157,5,7,2,37,1453.1,1602,833,744,183,479,50,1044,50,8,62,6338,95,4.46,1.432,9.9,1.1,3.0,6.5,2.18,1145
SDP,19,28.7,4.21,91,71,.562,3.72,162,162,157,5,11,1,47,1489.0,1395,682,616,138,506,47,1194,45,10,59,6292,107,3.88,1.277,8.4,0.8,3.1,7.2,2.36,1143
SEA,25,27.8,5.56,85,76,.528,5.21,161,161,157,4,4,2,34,1431.2,1562,895,829,216,605,52,1000,60,3,37,6351,95,5.13,1.514,9.8,1.4,3.8,6.3,1.65,1161
SFG,20,28.4,5.32,68,94,.420,4.71,162,162,153,9,8,1,35,1442.1,1520,862,755,194,570,60,997,67,10,58,6330,86,4.86,1.449,9.5,1.2,3.6,6.2,1.75,1141
STL,18,30.9,4.36,88,74,.543,3.97,162,162,149,13,11,5,43,1452.1,1380,706,641,173,539,43,1050,35,6,44,6184,106,4.46,1.321,8.6,1.1,3.3,6.5,1.95,1121
TEX,17,30.5,4.90,90,72,.556,4.65,163,163,144,19,6,5,43,1449.1,1569,799,749,168,582,44,976,43,9,38,6358,113,4.63,1.484,9.7,1.0,3.6,6.1,1.68,1211
TOR,20,28.3,4.99,74,88,.457,4.57,162,162,143,19,7,5,35,1445.2,1476,809,734,187,610,37,1033,36,3,61,6271,110,4.77,1.443,9.2,1.2,3.8,6.4,1.69,1125
LgAvg,19,28.4,5.04,81,81,.500,4.60,162,162,152,10,,,40,1449,1511,815,741,177,575,48,1047,50,7,55,6331,101,4.61,1.440,9.4,1.1,3.6,6.5,1.82,1170
,538,28.4,5.04,2266,2266,.500,4.60,4534,4534,4244,290,,,1116,40560.2,42320,22831,20741,4962,16093,1343,29308,1404,197,1553,177261,101,4.61,1.440,9.4,1.1,3.6,6.5,1.82,32748
