Rk,Tm,Lg,G,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,CHC,NL,162,103,58,.640,5.0,3.4,1.6,-0.2,1.3,107-54,-4,15-5,57-24,46-34,9-4,22-23,75-41,28-17,31-25,72-33
2,TEX,AL,162,95,67,.586,4.7,4.7,0.0,0.1,0.2,82-80,13,13-7,53-28,42-39,6-6,36-11,73-48,22-19,60-31,35-36
3,WSN,NL,162,95,67,.586,4.7,3.8,0.9,-0.3,0.6,97-65,-2,12-8,50-31,45-36,5-8,26-19,75-53,20-14,31-29,64-38
4,CLE,AL,161,94,67,.584,4.8,4.2,0.6,0.0,0.6,91-70,3,13-7,53-28,41-39,6-6,28-21,63-47,31-20,48-43,46-24
5,BOS,AL,162,93,69,.574,5.4,4.3,1.1,0.1,1.3,98-64,-5,14-6,47-34,46-35,7-4,20-24,73-52,20-17,55-48,38-21
6,LAD,NL,162,91,71,.562,4.5,3.9,0.5,-0.2,0.4,90-72,1,10-10,53-28,38-43,6-8,22-20,69-47,22-24,31-26,60-45
7,TOR,AL,162,89,73,.549,4.7,4.1,0.6,0.2,0.8,91-71,-2,13-7,46-35,43-38,4-9,21-25,65-53,24-20,58-45,31-28
8,BAL,AL,162,89,73,.549,4.6,4.4,0.2,0.3,0.4,84-78,5,14-6,50-31,39-42,6-2,21-16,66-50,23-23,53-54,36-19
9,SFG,NL,162,87,75,.537,4.4,3.9,0.5,-0.2,0.3,90-72,-3,8-12,45-36,42-39,11-7,28-27,57-53,30-22,27-33,60-42
10,NYM,NL,162,87,75,.537,4.1,3.8,0.3,-0.3,0.1,87-75,0,12-8,44-37,43-38,8-5,25-22,68-57,19-18,30-30,57-45
11,DET,AL,161,86,75,.534,4.7,4.5,0.2,0.0,0.2,83-78,3,13-7,45-35,41-40,5-4,26-17,62-53,24-22,37-52,49-23
12,SEA,AL,162,86,76,.531,4.7,4.4,0.4,0.1,0.5,87-75,-1,13-7,44-37,42-39,9-8,30-30,62-42,24-34,44-47,42-29
13,STL,NL,162,86,76,.531,4.8,4.4,0.4,-0.1,0.3,88-74,-2,8-12,38-43,48-33,4-3,24-23,66-52,20-24,24-35,62-41
14,HOU,AL,162,84,78,.518,4.5,4.3,0.1,0.1,0.3,83-79,1,11-9,43-38,41-40,10-8,28-25,57-52,27-26,39-53,45-25
15,NYY,AL,162,84,78,.518,4.2,4.3,-0.1,0.3,0.1,79-83,5,8-12,48-33,36-45,4-3,24-12,59-52,25-26,52-54,32-24
16,KCR,AL,162,81,81,.500,4.2,4.4,-0.2,0.1,-0.2,77-85,4,10-10,47-34,34-47,7-3,23-25,60-59,21-22,40-55,41-26
17,MIA,NL,161,79,82,.491,4.1,4.2,-0.2,-0.2,-0.4,78-83,1,6-14,40-40,39-42,4-7,22-24,57-70,22-12,32-43,47-39
18,PIT,NL,162,78,83,.484,4.5,4.7,-0.2,-0.1,-0.2,78-83,0,9-11,38-42,40-41,8-5,20-21,58-74,20-9,32-45,46-38
19,CHW,AL,162,78,84,.481,4.2,4.4,-0.2,0.1,-0.1,78-84,0,9-11,45-36,33-48,8-7,23-29,58-66,20-18,51-61,27-23
20,COL,NL,162,75,87,.463,5.2,5.3,-0.1,-0.1,-0.2,80-82,-5,9-11,42-39,33-48,3-6,12-20,56-58,19-29,40-40,35-47
21,LAA,AL,162,74,88,.457,4.4,4.5,-0.1,0.2,0.1,80-82,-6,9-11,40-41,34-47,0-4,17-20,53-66,21-22,46-68,28-20
22,MIL,NL,162,73,89,.451,4.1,4.5,-0.4,-0.1,-0.5,74-88,-1,11-9,41-40,32-49,4-9,23-28,43-70,30-19,27-46,46-43
23,PHI,NL,162,71,91,.438,3.8,4.9,-1.1,-0.1,-1.3,62-100,9,11-9,37-44,34-47,7-6,28-23,54-74,17-17,27-49,44-42
24,ARI,NL,162,69,93,.426,4.6,5.5,-0.9,0.0,-0.9,69-93,0,5-15,33-48,36-45,8-8,22-17,46-71,23-22,30-52,39-41
25,OAK,AL,162,69,93,.426,4.0,4.7,-0.7,0.2,-0.5,70-92,-1,7-13,34-47,35-46,6-5,25-28,53-67,16-26,49-64,20-29
26,ATL,NL,161,68,93,.422,4.0,4.8,-0.8,-0.1,-0.9,67-94,1,8-12,31-50,37-43,11-11,21-22,52-62,16-31,27-49,41-44
27,SDP,NL,162,68,94,.420,4.2,4.8,-0.5,-0.1,-0.6,72-90,-4,6-14,39-42,29-52,6-6,19-31,47-72,21-22,32-50,36-44
28,TBR,AL,162,68,94,.420,4.1,4.4,-0.3,0.3,0.0,77-85,-9,10-10,36-45,32-49,4-3,13-27,50-68,18-26,47-74,21-20
29,CIN,NL,162,68,94,.420,4.4,5.3,-0.9,0.0,-0.8,68-94,0,5-15,38-43,30-51,3-10,22-27,54-74,14-20,24-54,44-40
30,MIN,AL,162,59,103,.364,4.5,5.5,-1.0,0.1,-0.9,66-96,-7,8-12,30-51,29-52,6-10,15-29,38-78,21-25,35-75,24-28
,Avg,,,80,80,.500,4.5,4.5,,,,81-80,,10-10,42-38,38-42,6-6,22-22,58-59,21-21,38-47,42-33
