Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
PIT,28,28.6,5.35,57,105,.352,5.00,162,162,161,1,6,1,31,1411.2,1567,866,784,167,538,40,1026,66,10,56,6300,81,4.45,1.491,10.0,1.1,3.4,6.5,1.91,1199
SDP,19,27.2,3.59,90,72,.556,3.39,162,162,160,2,20,2,49,1456.1,1305,581,549,139,517,51,1295,28,5,29,6058,108,3.66,1.251,8.1,0.9,3.2,8.0,2.50,1108
SEA,22,27.1,4.31,61,101,.377,3.93,162,162,151,11,10,2,38,1438.0,1402,698,628,157,452,33,973,40,11,73,6091,100,4.17,1.289,8.8,1.0,2.8,6.1,2.15,1079
SFG,19,27.9,3.60,92,70,.568,3.36,162,162,156,6,17,3,57,1461.0,1279,583,546,134,578,58,1331,51,4,74,6159,117,3.74,1.271,7.9,0.8,3.6,8.2,2.30,1193
STL,22,30.2,3.96,86,76,.531,3.57,162,162,155,7,16,3,32,1453.2,1412,641,577,133,477,32,1094,48,4,42,6137,109,3.85,1.299,8.7,0.8,3.0,6.8,2.29,1135
TBR,17,28.0,4.01,96,66,.593,3.78,162,162,156,6,12,3,51,1453.2,1347,649,611,175,478,34,1189,46,9,60,6103,103,4.09,1.255,8.3,1.1,3.0,7.4,2.49,1093
TEX,22,27.6,4.24,90,72,.556,3.93,162,162,155,7,8,0,46,1455.1,1355,687,636,162,551,24,1181,63,4,56,6213,114,4.17,1.310,8.4,1.0,3.4,7.3,2.14,1160
TOR,24,28.0,4.49,85,77,.525,4.22,162,162,157,5,11,2,45,1440.2,1407,728,676,150,539,35,1184,60,3,69,6165,100,4.04,1.351,8.8,0.9,3.4,7.4,2.20,1115
WSN,26,28.0,4.58,69,93,.426,4.13,162,162,160,2,5,1,37,1435.0,1469,742,658,151,512,57,1068,46,7,33,6214,98,4.12,1.380,9.2,0.9,3.2,6.7,2.09,1167
LgAvg,21,28.4,4.38,81,81,.500,4.07,162,162,157,6,,,40,1444,1418,710,653,154,526,41,1144,52,6,56,6185,101,4.08,1.347,8.8,1.0,3.3,7.1,2.17,1144
,635,28.4,4.38,2430,2430,.500,4.07,4860,4860,4695,165,,,1204,43305.1,42554,21308,19595,4613,15778,1216,34306,1549,182,1674,185553,101,4.08,1.347,8.8,1.0,3.3,7.1,2.17,34329
