Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
PIT,28,28.7,3.56,94,68,.580,3.26,162,162,159,3,16,0,55,1470.2,1299,577,533,101,515,26,1261,70,6,81,6147,109,3.42,1.233,7.9,0.6,3.2,7.7,2.45,1158
SDP,23,28.8,4.32,76,86,.469,3.98,162,162,159,3,6,1,40,1455.0,1407,700,643,156,525,31,1171,40,2,51,6179,86,4.00,1.328,8.7,1.0,3.2,7.2,2.23,1114
SEA,22,28.0,4.65,71,91,.438,4.31,162,162,158,4,14,2,43,1465.0,1467,754,702,174,478,48,1297,42,1,74,6257,86,3.89,1.328,9.0,1.1,2.9,8.0,2.71,1108
SFG,21,29.6,4.27,76,86,.469,4.00,162,162,160,2,13,2,41,1447.1,1380,691,643,145,521,64,1256,50,4,60,6163,87,3.80,1.313,8.6,0.9,3.2,7.8,2.41,1130
STL,25,26.9,3.68,97,65,.599,3.42,162,162,155,7,15,4,44,1459.2,1366,596,555,112,451,26,1254,64,1,33,6104,110,3.39,1.245,8.4,0.7,2.8,7.7,2.78,1129
TBR,21,29.0,3.96,92,71,.564,3.74,163,163,154,9,17,3,42,1464.0,1315,646,608,153,482,38,1310,52,6,69,6083,103,3.71,1.227,8.1,0.9,3.0,8.1,2.72,1045
TEX,25,27.9,3.90,91,72,.558,3.62,163,163,159,4,10,2,46,1463.1,1370,636,589,157,498,35,1309,48,5,68,6146,114,3.77,1.277,8.4,1.0,3.1,8.1,2.63,1120
TOR,31,30.9,4.67,74,88,.457,4.25,162,162,158,4,11,2,39,1452.0,1451,756,685,195,500,33,1208,65,7,54,6250,97,4.30,1.344,9.0,1.2,3.1,7.5,2.42,1138
WSN,21,27.7,3.86,86,76,.531,3.59,162,162,156,6,13,4,47,1445.2,1367,626,576,142,405,17,1236,48,8,43,6038,106,3.56,1.226,8.5,0.9,2.5,7.7,3.05,1075
LgAvg,23,28.4,4.17,81,81,.500,3.86,162,162,158,4,,,42,1455,1403,675,624,155,488,34,1224,51,4,58,6162,101,3.87,1.300,8.7,1.0,3.0,7.6,2.51,1122
,679,28.4,4.17,2431,2431,.500,3.86,4862,4862,4738,124,,,1266,43653.1,42093,20255,18728,4661,14640,1018,36710,1536,128,1736,184873,101,3.87,1.300,8.7,1.0,3.0,7.6,2.51,33658
