Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
ARI,23,27.6,4.29,81,81,.500,3.92,162,162,156,6,7,2,38,1495.0,1460,695,651,176,485,42,1218,60,3,84,6338,99,4.04,1.301,8.8,1.1,2.9,7.3,2.51,1158
ATL,21,27.2,3.38,96,66,.593,3.18,162,162,161,1,12,0,53,1450.1,1326,548,512,127,409,35,1232,51,3,50,5989,118,3.44,1.196,8.2,0.8,2.5,7.6,3.01,1090
BAL,26,27.9,4.38,85,77,.525,4.20,162,162,160,2,6,1,57,1453.0,1438,709,678,202,473,32,1169,50,3,38,6144,98,4.33,1.315,8.9,1.3,2.9,7.2,2.47,1076
BOS,26,30.2,4.05,97,65,.599,3.79,162,162,157,5,8,2,33,1454.0,1366,656,613,156,524,10,1294,47,5,47,6143,109,3.84,1.300,8.5,1.0,3.2,8.0,2.47,1125
CHC,31,28.7,4.25,66,96,.407,4.00,162,162,159,3,6,1,39,1448.0,1332,689,643,160,540,43,1184,62,4,59,6149,97,4.10,1.293,8.3,1.0,3.4,7.4,2.19,1116
CHW,24,27.1,4.46,63,99,.389,3.98,162,162,157,5,5,1,40,1455.0,1424,723,643,182,509,24,1249,60,4,62,6214,106,4.13,1.329,8.8,1.1,3.1,7.7,2.45,1126
CIN,20,27.7,3.64,90,72,.556,3.38,162,162,157,5,17,2,43,1473.2,1294,589,554,170,435,28,1296,66,5,44,6077,112,3.81,1.173,7.9,1.0,2.7,7.9,2.98,1067
CLE,28,27.5,4.09,92,70,.568,3.82,162,162,159,3,16,3,38,1441.1,1359,662,611,147,554,26,1379,58,3,71,6154,100,3.73,1.327,8.5,0.9,3.5,8.6,2.49,1168
COL,23,28.3,4.69,74,88,.457,4.44,162,162,161,1,5,0,35,1436.0,1545,760,708,136,517,52,1064,40,15,62,6248,101,3.96,1.436,9.7,0.9,3.2,6.7,2.06,1180
DET,20,28.4,3.85,93,69,.574,3.61,162,162,159,3,12,1,39,1462.2,1369,624,587,128,462,29,1428,42,7,63,6119,116,3.27,1.252,8.4,0.8,2.8,8.8,3.09,1107
HOU,26,27.2,5.23,51,111,.315,4.79,162,162,160,2,5,1,32,1440.0,1530,848,766,191,616,32,1084,56,6,61,6370,85,4.67,1.490,9.6,1.2,3.9,6.8,1.76,1202
KCR,20,28.9,3.71,86,76,.531,3.45,162,162,157,5,12,2,52,1448.1,1366,601,555,155,469,21,1208,41,4,60,6049,120,3.83,1.267,8.5,1.0,2.9,7.5,2.58,1103
LAA,26,29.1,4.55,78,84,.481,4.23,162,162,158,4,12,2,41,1457.2,1475,737,685,167,533,36,1200,45,4,74,6298,89,4.08,1.378,9.1,1.0,3.3,7.4,2.25,1188
LAD,27,28.1,3.59,92,70,.568,3.25,162,162,155,7,22,4,46,1450.1,1321,582,524,127,460,44,1292,43,3,66,6032,110,3.44,1.228,8.2,0.8,2.9,8.0,2.81,1099
MIA,26,26.0,3.99,62,100,.383,3.71,162,162,160,2,13,1,36,1460.0,1376,646,602,121,526,58,1177,47,2,53,6166,104,3.69,1.303,8.5,0.7,3.2,7.3,2.24,1140
MIL,21,28.8,4.24,74,88,.457,3.84,162,162,158,4,15,2,40,1442.2,1401,687,615,175,466,29,1125,43,2,51,6100,101,4.12,1.294,8.7,1.1,2.9,7.0,2.41,1085
MIN,23,28.3,4.86,66,96,.407,4.55,162,162,161,1,7,1,40,1450.1,1591,788,733,168,458,31,985,44,4,50,6257,90,4.23,1.413,9.9,1.0,2.8,6.1,2.15,1118
NYM,29,29.1,4.22,74,88,.457,3.77,162,162,158,4,10,2,40,1476.2,1442,684,618,152,458,38,1209,54,3,47,6249,95,3.79,1.287,8.8,0.9,2.8,7.4,2.64,1135
NYY,24,31.8,4.14,85,77,.525,3.94,162,162,155,7,10,3,49,1447.1,1452,671,633,171,437,34,1233,51,1,57,6128,102,3.89,1.305,9.0,1.1,2.7,7.7,2.82,1115
OAK,18,28.3,3.86,96,66,.593,3.56,162,162,156,6,13,4,46,1452.0,1339,625,574,163,428,23,1183,35,1,56,6069,109,3.83,1.217,8.3,1.0,2.7,7.3,2.76,1088
PHI,27,28.7,4.62,73,89,.451,4.32,162,162,156,6,3,2,32,1436.1,1465,749,689,152,506,33,1199,62,6,48,6213,87,3.94,1.372,9.2,1.0,3.2,7.5,2.37,1155
