Rk,Tm,Lg,G,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,BOS,AL,162,96,66,.593,5.4,4.1,1.3,0.3,1.6,101-61,-5,12-6,51-30,45-36,2-5,22-28,71-43,25-23,44-40,52-26
2,CLE,AL,162,96,66,.593,5.0,4.3,0.7,0.2,0.8,91-71,5,9-9,51-29,45-37,11-8,29-24,64-47,32-19,30-30,66-36
3,LAA,AL,162,94,68,.580,5.1,4.5,0.6,0.2,0.8,90-72,4,14-4,54-27,40-41,7-3,25-19,75-47,19-21,41-28,53-40
4,NYY,AL,162,94,68,.580,6.0,4.8,1.2,0.2,1.4,97-65,-3,10-8,52-29,42-39,4-9,18-21,74-49,20-19,44-37,50-31
5,ARI,NL,162,90,72,.556,4.4,4.5,-0.1,-0.2,-0.3,79-83,11,8-7,50-31,40-41,8-6,32-20,62-55,28-17,45-47,45-25
6,COL,NL,163,90,73,.552,5.3,4.7,0.6,-0.2,0.4,91-72,-1,10-8,51-31,39-42,11-10,19-19,70-49,20-24,54-42,36-31
7,PHI,NL,162,89,73,.549,5.5,5.1,0.4,-0.3,0.2,87-75,2,8-7,47-34,42-39,11-8,14-23,63-47,26-26,43-42,46-31
8,SDP,NL,163,89,74,.546,4.5,4.1,0.5,-0.2,0.2,89-74,0,6-9,47-34,42-40,11-10,23-26,60-52,29-22,48-51,41-23
9,DET,AL,162,88,74,.543,5.5,4.9,0.6,0.2,0.8,89-73,-1,14-4,45-36,43-38,8-10,27-19,60-59,28-15,35-35,53-39
10,SEA,AL,162,88,74,.543,4.9,5.0,-0.1,0.3,0.2,79-83,9,9-9,49-33,39-41,5-2,27-20,60-61,28-13,32-41,56-33
11,NYM,NL,162,88,74,.543,5.0,4.6,0.3,-0.2,0.1,86-76,2,8-7,41-40,47-34,7-8,22-15,59-50,29-24,41-46,47-28
12,CHC,NL,162,85,77,.525,4.6,4.3,0.4,-0.4,-0.1,87-75,-2,8-4,44-37,41-40,2-8,23-22,66-53,19-24,32-37,53-40
13,ATL,NL,162,84,78,.518,5.0,4.5,0.5,-0.2,0.2,88-74,-4,4-11,44-37,40-41,6-9,18-25,53-46,31-32,47-43,37-35
14,MIL,NL,162,83,79,.512,4.9,4.8,0.2,-0.4,-0.2,83-79,0,8-7,51-30,32-49,8-6,22-21,55-56,28-23,27-37,56-42
15,TOR,AL,162,83,79,.512,4.6,4.3,0.3,0.3,0.7,87-75,-4,10-8,49-32,34-47,8-9,29-25,57-62,26-17,38-39,45-40
16,LAD,NL,162,82,80,.506,4.5,4.5,0.0,-0.2,-0.1,82-80,0,5-10,43-38,39-42,9-4,28-20,56-58,26-22,48-54,34-26
17,MIN,AL,162,79,83,.488,4.4,4.5,0.0,0.3,0.2,80-82,-1,11-7,41-40,38-43,5-7,22-22,57-59,22-24,36-54,43-29
18,STL,NL,162,78,84,.481,4.5,5.1,-0.6,-0.3,-1.0,71-91,7,6-9,43-38,35-46,7-4,16-20,49-57,29-27,37-50,41-34
19,OAK,AL,162,76,86,.469,4.6,4.7,-0.1,0.3,0.2,79-83,-3,10-8,40-41,36-45,11-5,25-24,52-64,24-22,38-46,38-40
20,TEX,AL,162,75,87,.463,5.0,5.2,-0.2,0.3,0.1,79-83,-4,11-7,47-34,28-53,5-9,26-18,53-62,22-25,38-50,37-37
21,HOU,NL,162,73,89,.451,4.5,5.0,-0.6,-0.3,-0.9,72-90,1,9-9,42-39,31-50,9-10,25-26,51-66,22-23,38-48,35-41
22,WSN,NL,162,73,89,.451,4.2,4.8,-0.7,-0.2,-0.8,70-92,3,9-9,40-41,33-48,5-9,27-24,48-65,25-24,35-67,38-22
23,CHW,AL,162,72,90,.444,4.3,5.2,-0.9,0.4,-0.5,67-95,5,4-14,38-43,34-47,6-7,16-26,56-62,16-28,33-54,39-36
24,CIN,NL,162,72,90,.444,4.8,5.3,-0.4,-0.3,-0.7,75-87,-3,7-11,39-42,33-48,10-8,26-24,49-54,23-36,42-47,30-43
25,SFG,NL,162,71,91,.438,4.2,4.4,-0.2,-0.1,-0.3,77-85,-6,5-10,39-42,32-49,6-15,24-28,49-65,22-26,48-70,23-21
26,FLA,NL,162,71,91,.438,4.9,5.5,-0.6,-0.2,-0.8,72-90,-1,9-9,36-45,35-46,7-6,22-24,50-63,21-28,44-53,27-38
27,BAL,AL,162,69,93,.426,4.7,5.4,-0.7,0.4,-0.3,71-91,-2,6-12,35-46,34-47,10-7,13-31,50-66,19-27,36-62,33-31
28,KCR,AL,162,69,93,.426,4.4,4.8,-0.4,0.3,-0.2,74-88,-5,10-8,35-46,34-47,5-8,21-22,50-67,19-26,34-50,35-43
29,PIT,NL,162,68,94,.420,4.5,5.2,-0.8,-0.3,-1.1,70-92,-2,5-10,37-44,31-50,8-7,16-22,45-69,23-25,29-59,39-35
30,TBD,AL,162,66,96,.407,4.8,5.8,-1.0,0.5,-0.5,67-95,-1,7-11,37-44,29-52,8-3,22-21,45-71,21-25,38-60,28-36
,Avg,,,81,81,.500,4.8,4.8,,,,81-81,,8-8,43-37,37-43,7-7,22-22,56-57,24-23,39-47,41-33
