year,wins
2016,84
2015,87
2014,84
2013,85
2012,95
2011,97
2010,95
2009,103
2008,89
2007,94
2006,97
2005,95
2004,101
2003,101
2002,103
2001,95
2000,87
1999,98
1998,114
1997,96
1996,92
1995,79
