Rk,Tm,Lg,G,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,ATL,NL,162,103,59,.636,5.2,4.1,1.1,0.1,1.2,98-64,5,9-9,56-25,47-34,17-5,29-21,74-44,29-15,38-20,65-39
2,ARI,NL,162,100,62,.617,5.6,4.2,1.4,0.1,1.5,102-60,-2,7-8,52-29,48-33,11-10,24-24,68-46,32-16,30-27,70-35
3,NYY,AL,162,98,64,.605,5.6,4.5,1.0,-0.3,0.8,96-66,2,9-9,48-33,50-31,7-2,22-12,79-50,19-14,39-26,59-38
4,CLE,AL,162,97,65,.599,6.2,5.3,0.9,-0.3,0.6,93-69,4,9-9,47-34,50-31,7-7,26-19,69-50,28-15,30-35,67-30
5,HOU,NL,162,97,65,.599,5.1,4.2,0.9,0.1,1.0,96-66,1,12-3,50-32,47-33,8-5,22-18,70-49,27-16,20-30,77-35
6,NYM,NL,163,97,66,.595,5.2,4.4,0.9,0.2,1.0,95-68,2,12-6,49-32,48-34,6-5,27-19,75-48,22-18,30-31,67-35
7,CIN,NL,163,96,67,.589,5.3,4.4,0.9,0.1,1.1,96-67,0,7-8,45-37,51-30,9-4,21-24,69-50,27-17,29-27,67-40
8,TEX,AL,162,95,67,.586,5.8,5.3,0.5,-0.2,0.3,88-74,7,10-8,51-30,44-37,6-2,24-16,75-57,20-10,35-27,60-40
9,BOS,AL,162,94,68,.580,5.2,4.4,0.7,-0.2,0.5,92-70,2,6-12,49-32,45-36,4-4,21-20,76-51,18-17,36-28,58-40
10,OAK,AL,162,87,75,.537,5.5,5.2,0.3,-0.2,0.1,85-77,2,12-6,52-29,35-46,3-7,22-19,64-58,23-17,30-33,57-42
11,SFG,NL,162,86,76,.531,5.4,5.1,0.3,0.2,0.4,85-77,1,7-8,49-32,37-44,7-7,27-23,68-48,18-28,22-35,64-41
12,TOR,AL,162,84,78,.518,5.5,5.3,0.1,-0.2,-0.1,83-79,1,9-9,40-41,44-37,6-3,26-18,71-63,13-15,21-41,63-37
13,SEA,AL,162,79,83,.488,5.3,5.6,-0.3,-0.2,-0.5,77-85,2,7-11,43-38,36-45,5-6,20-23,66-61,13-22,28-42,51-41
14,PIT,NL,161,78,83,.484,4.8,4.9,0.0,0.2,0.1,80-81,-2,7-8,45-36,33-47,9-4,20-22,61-53,17-30,26-36,52-47
15,BAL,AL,162,78,84,.481,5.3,5.0,0.2,-0.2,0.0,84-78,-6,11-7,41-40,37-44,8-6,16-26,66-69,12-15,26-51,52-33
16,PHI,NL,162,77,85,.475,5.2,5.2,0.0,0.2,0.2,81-81,-4,11-7,41-40,36-45,4-9,25-19,58-63,19-22,24-43,53-42
17,LAD,NL,162,77,85,.475,4.9,4.9,0.0,0.2,0.2,82-80,-5,8-7,37-44,40-41,4-12,21-27,53-60,24-25,29-36,48-49
18,CHW,AL,162,75,86,.466,4.8,5.4,-0.6,-0.2,-0.8,72-89,3,9-9,38-42,37-44,6-9,20-19,59-75,16-11,28-41,47-45
19,STL,NL,161,75,86,.466,5.0,5.2,-0.2,0.1,0.0,78-83,-3,7-8,38-42,37-44,9-8,26-27,58-57,17-29,21-36,54-50
20,MIL,NL,161,74,87,.460,5.1,5.5,-0.4,0.2,-0.3,74-87,0,8-6,32-48,42-39,8-9,22-27,53-60,21-27,25-35,49-52
21,SDP,NL,162,74,88,.457,4.4,4.8,-0.4,0.2,-0.2,74-88,0,11-4,46-35,28-53,6-6,28-25,59-56,15-32,21-46,53-42
22,COL,NL,162,72,90,.444,5.6,6.3,-0.8,0.3,-0.5,72-90,0,4-8,39-42,33-48,4-6,24-23,49-62,23-28,25-42,47-48
23,ANA,AL,162,70,92,.432,4.4,5.1,-0.7,-0.2,-0.9,70-92,0,6-12,37-44,33-48,4-8,23-25,51-73,19-19,27-45,43-47
24,DET,AL,161,69,92,.429,4.6,5.5,-0.8,-0.1,-1.0,68-93,1,8-10,38-43,31-49,5-5,19-22,54-78,15-14,28-47,41-45
25,TBD,AL,162,69,93,.426,4.8,5.6,-0.9,-0.2,-1.0,69-93,0,4-14,33-48,36-45,3-6,27-20,61-70,8-23,28-47,41-46
26,MON,NL,162,68,94,.420,4.4,5.3,-0.8,0.3,-0.6,68-94,0,8-10,35-46,33-48,3-11,16-28,50-73,18-21,27-45,41-49
27,CHC,NL,162,67,95,.414,4.6,5.7,-1.1,0.2,-0.8,66-96,1,6-9,34-47,33-48,5-6,26-24,42-73,25-22,20-41,47-54
28,KCR,AL,161,64,97,.398,5.3,5.7,-0.4,-0.2,-0.6,75-86,-11,6-12,33-47,31-50,5-10,11-32,49-80,15-17,25-44,39-53
29,FLA,NL,162,64,98,.395,4.3,5.3,-1.0,0.3,-0.7,66-96,-2,11-7,35-45,29-53,6-4,19-25,46-77,18-21,19-50,45-48
30,MIN,AL,161,63,97,.394,4.3,5.2,-1.0,-0.2,-1.2,65-95,-2,10-7,31-50,32-47,6-5,19-26,50-73,13-24,25-47,38-50
,Avg,,,80,80,.500,5.1,5.1,,,,81-80,,8-8,42-38,38-42,6-6,22-22,61-60,19-20,27-37,53-43
