Rk,Tm,Lg,G,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,PHI,NL,162,97,65,.599,4.8,4.0,0.8,0.0,0.8,95-67,2,10-8,54-30,43-35,11-6,29-17,69-45,28-20,40-28,57-37
2,TBR,AL,162,96,66,.593,5.0,4.0,0.9,0.1,1.1,96-66,0,7-11,49-32,47-34,10-5,29-27,60-46,36-20,57-40,39-26
3,NYY,AL,162,95,67,.586,5.3,4.3,1.0,0.1,1.1,97-65,-2,11-7,52-29,43-38,7-7,20-19,64-40,31-27,51-44,44-23
4,MIN,AL,162,94,68,.580,4.8,4.1,0.7,0.0,0.7,92-70,2,8-10,53-28,41-40,9-5,31-23,62-44,32-24,50-42,44-26
5,SFG,NL,162,92,70,.568,4.3,3.6,0.7,-0.1,0.6,94-68,-2,7-8,49-32,43-38,11-8,28-24,68-50,24-20,33-41,59-29
6,CIN,NL,162,91,71,.562,4.9,4.2,0.6,-0.3,0.3,92-70,-1,8-7,49-32,42-39,11-8,27-27,58-49,33-22,20-33,71-38
7,ATL,NL,162,91,71,.562,4.6,3.9,0.7,-0.1,0.6,93-69,-2,9-6,56-25,35-46,8-7,23-22,63-44,28-27,29-33,62-38
8,TEX,AL,162,90,72,.556,4.9,4.2,0.6,-0.1,0.6,91-71,-1,14-4,51-30,39-42,11-6,30-23,62-49,28-23,39-42,51-30
9,SDP,NL,162,90,72,.556,4.1,3.6,0.5,-0.1,0.4,91-71,-1,9-6,45-36,45-36,7-7,28-22,59-52,31-20,32-36,58-36
10,BOS,AL,162,89,73,.549,5.0,4.6,0.5,0.2,0.7,88-74,1,13-5,46-35,43-38,6-12,22-26,61-44,28-29,50-53,39-20
11,CHW,AL,162,88,74,.543,4.6,4.3,0.3,0.0,0.3,86-76,2,15-3,45-36,43-38,6-10,28-21,68-54,20-20,38-47,50-27
12,STL,NL,162,86,76,.531,4.5,4.0,0.6,-0.3,0.3,91-71,-5,9-6,52-29,34-47,6-8,20-22,60-48,26-28,37-23,49-53
13,TOR,AL,162,85,77,.525,4.7,4.5,0.2,0.3,0.4,84-78,1,7-11,45-33,40-44,5-6,24-28,72-54,13-23,56-55,29-22
14,COL,NL,162,83,79,.512,4.8,4.4,0.3,-0.1,0.3,86-76,-3,9-6,52-29,31-50,8-10,28-30,49-52,34-27,40-32,43-47
15,OAK,AL,162,81,81,.500,4.1,3.9,0.2,0.1,0.3,85-77,-4,8-10,47-34,34-47,4-7,23-20,57-60,24-21,37-53,44-28
16,DET,AL,162,81,81,.500,4.6,4.6,0.0,0.0,0.0,82-80,-1,11-7,52-29,29-52,7-8,16-26,55-60,26-21,38-45,43-36
17,LAA,AL,162,80,82,.494,4.2,4.3,-0.1,0.1,0.0,79-83,1,11-7,43-38,37-44,9-7,24-25,57-54,23-28,46-60,34-22
18,FLA,NL,162,80,82,.494,4.4,4.4,0.0,0.0,0.0,81-81,-1,7-8,41-40,39-42,5-8,23-28,46-67,34-15,31-52,49-30
19,LAD,NL,162,80,82,.494,4.1,4.3,-0.2,0.0,-0.2,78-84,2,4-11,45-36,35-46,9-4,26-24,57-55,23-27,42-51,38-31
20,NYM,NL,162,79,83,.488,4.0,4.0,0.0,0.0,0.0,81-81,-2,13-5,47-34,32-49,7-9,25-30,57-66,22-17,37-42,42-41
21,MIL,NL,162,77,85,.475,4.6,5.0,-0.3,-0.2,-0.6,76-86,1,9-6,40-41,37-44,8-5,26-23,52-60,25-25,28-46,49-39
22,HOU,NL,162,76,86,.469,3.8,4.5,-0.7,-0.1,-0.9,68-94,8,3-12,42-39,34-47,7-6,21-18,49-68,27-18,30-47,46-39
23,CHC,NL,162,75,87,.463,4.2,4.7,-0.5,-0.2,-0.7,73-89,2,8-10,35-46,40-41,4-6,22-32,49-59,26-28,32-43,43-44
24,CLE,AL,162,69,93,.426,4.0,4.6,-0.7,0.1,-0.5,70-92,-1,5-13,38-43,31-50,6-6,23-21,51-65,18-28,45-68,24-25
25,WSN,NL,162,69,93,.426,4.0,4.6,-0.5,0.0,-0.5,72-90,-3,5-13,41-40,28-53,3-10,20-28,52-70,17-23,30-45,39-48
26,KCR,AL,162,67,95,.414,4.2,5.2,-1.0,0.2,-0.9,65-97,2,8-10,38-43,29-52,10-8,27-30,55-71,12-24,44-69,23-26
27,BAL,AL,162,66,96,.407,3.8,4.8,-1.1,0.4,-0.7,63-99,3,7-11,37-44,29-52,13-4,29-21,48-63,18-33,47-76,19-20
28,ARI,NL,162,65,97,.401,4.4,5.2,-0.8,0.1,-0.7,69-93,-4,6-9,40-41,25-56,5-8,19-23,46-65,19-32,39-59,26-38
29,SEA,AL,162,61,101,.377,3.2,4.3,-1.1,0.2,-0.9,59-103,2,9-9,35-46,26-55,3-11,21-28,47-65,14-36,40-72,21-29
30,PIT,NL,162,57,105,.352,3.6,5.3,-1.7,-0.1,-1.8,53-109,4,2-13,40-41,17-64,4-8,20-24,38-80,19-25,25-52,32-53
,Avg,,,81,81,.500,4.4,4.4,,,,81-81,,8-8,45-35,35-45,7-7,24-24,56-56,24-24,38-47,42-33
