Rk,Tm,Lg,G,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,SFG,NL,162,97,65,.599,5.7,4.6,1.1,-0.1,1.0,97-65,0,8-7,55-26,42-39,7-5,18-22,78-45,19-20,43-42,54-23
2,STL,NL,162,95,67,.586,5.5,4.8,0.7,-0.1,0.6,91-71,4,7-8,50-31,45-36,5-2,28-16,78-44,17-23,33-37,62-30
3,CHW,AL,162,95,67,.586,6.0,5.2,0.9,0.0,0.9,92-70,3,12-6,46-35,49-32,7-4,28-18,74-57,21-10,49-35,46-32
4,ATL,NL,162,95,67,.586,5.0,4.4,0.6,-0.2,0.4,90-72,5,11-7,51-30,44-37,3-5,18-18,74-53,21-14,42-33,53-34
5,NYM,NL,162,94,68,.580,5.0,4.6,0.4,-0.1,0.3,88-74,6,9-9,55-26,39-42,10-8,29-20,76-55,18-13,42-36,52-32
6,OAK,AL,161,91,70,.565,5.9,5.0,0.8,0.1,0.9,92-69,-1,11-7,47-34,44-36,8-5,21-19,70-44,21-26,49-42,42-28
7,SEA,AL,162,91,71,.562,5.6,4.8,0.8,0.0,0.8,92-70,-1,11-7,47-34,44-37,3-4,15-22,71-60,20-11,46-43,45-28
8,CLE,AL,162,90,72,.556,5.9,5.0,0.8,0.0,0.9,92-70,-2,13-5,48-33,42-39,6-5,17-24,73-51,17-21,48-38,42-34
9,NYY,AL,161,87,74,.540,5.4,5.1,0.4,0.0,0.4,85-76,2,11-6,44-36,43-38,4-4,20-18,65-50,22-24,42-43,45-31
10,LAD,NL,162,86,76,.531,4.9,4.5,0.4,0.0,0.4,88-74,-2,6-9,44-37,42-39,9-5,25-21,67-51,19-25,40-46,46-30
11,BOS,AL,162,85,77,.525,4.9,4.6,0.3,0.0,0.3,86-76,-1,9-9,42-39,43-38,5-8,20-23,65-55,20-22,41-46,44-31
12,CIN,NL,163,85,77,.525,5.1,4.7,0.4,-0.1,0.3,87-75,-2,7-8,43-38,42-39,9-7,25-23,60-65,25-12,38-34,47-43
13,ARI,NL,162,85,77,.525,4.9,4.7,0.2,0.0,0.2,85-77,0,6-9,47-34,38-43,5-8,22-27,62-60,23-17,36-46,49-31
14,TOR,AL,162,83,79,.512,5.3,5.6,-0.3,0.0,-0.2,77-85,6,9-9,45-36,38-43,2-6,21-19,64-55,19-24,39-45,44-34
15,ANA,AL,162,82,80,.506,5.3,5.4,0.0,0.1,0.1,81-81,1,12-6,46-35,36-45,9-7,32-23,61-55,21-25,42-49,40-31
16,COL,NL,162,82,80,.506,6.0,5.5,0.4,0.0,0.4,87-75,-5,6-6,48-33,34-47,6-5,23-20,58-67,24-13,34-49,48-31
17,FLA,NL,161,79,82,.491,4.5,5.0,-0.4,-0.1,-0.5,74-87,5,8-9,43-38,36-44,9-5,32-20,62-60,17-22,40-46,39-36
18,DET,AL,162,79,83,.488,5.1,5.1,0.0,0.1,0.0,81-81,-2,10-8,43-38,36-45,8-4,20-18,55-62,24-21,48-48,31-35
19,KCR,AL,162,77,85,.475,5.4,5.7,-0.3,0.1,-0.2,77-85,0,8-10,42-39,35-46,7-8,21-26,59-61,18-24,41-52,36-33
20,SDP,NL,162,76,86,.469,4.6,5.0,-0.4,0.0,-0.3,75-87,1,5-10,41-40,35-46,11-13,25-27,57-56,19-30,36-63,40-23
21,BAL,AL,162,74,88,.457,4.9,5.6,-0.7,0.1,-0.7,71-91,3,7-11,44-37,30-51,4-7,29-25,51-64,23-24,39-57,35-31
22,MIL,NL,163,73,89,.451,4.5,5.1,-0.5,0.0,-0.6,73-89,0,6-9,42-39,31-50,13-9,26-21,59-68,14-21,35-48,38-41
23,HOU,NL,162,72,90,.444,5.8,5.8,0.0,-0.1,-0.1,81-81,-9,6-9,39-42,33-48,6-9,15-31,57-69,15-21,28-52,44-38
24,TEX,AL,162,71,91,.438,5.2,6.0,-0.8,0.2,-0.6,71-91,0,7-11,42-39,29-52,5-5,27-25,52-76,19-15,40-63,31-28
25,TBD,AL,161,69,92,.429,4.6,5.2,-0.7,0.1,-0.6,70-91,-1,9-9,36-44,33-48,9-5,26-26,58-67,11-25,36-59,33-33
26,MIN,AL,162,69,93,.426,4.6,5.4,-0.8,0.1,-0.7,69-93,0,7-11,36-45,33-48,7-9,22-26,58-64,11-29,38-56,31-37
27,PIT,NL,162,69,93,.426,4.9,5.5,-0.6,0.0,-0.6,73-89,-4,6-9,37-44,32-49,8-11,17-30,54-71,15-22,25-54,44-39
28,MON,NL,162,67,95,.414,4.6,5.6,-1.0,0.0,-1.1,66-96,1,7-11,37-44,30-51,4-4,23-24,48-71,19-24,31-57,36-38
29,PHI,NL,162,65,97,.401,4.4,5.1,-0.8,-0.1,-0.8,69-93,-4,9-9,34-47,31-50,4-12,25-35,51-75,14-22,34-53,31-44
30,CHC,NL,162,65,97,.401,4.7,5.6,-0.9,0.0,-0.9,69-93,-4,8-7,38-43,27-54,9-13,27-30,51-76,14-21,32-51,33-46
,Avg,,,80,80,.500,5.1,5.1,,,,80-80,,8-8,43-37,37-43,6-6,23-23,62-60,18-20,38-47,42-33
