year,wins
2016,81
2015,95
2014,89
2013,86
2012,72
2011,71
2010,67
2009,65
2008,75
2007,69
2006,62
2005,56
2004,58
2003,83
2002,62
2001,65
2000,77
1999,64
1998,72
1997,67
1996,75
1995,70
