Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
ANA,18,30.2,3.98,99,63,.611,3.69,162,162,155,7,14,2,54,1452.1,1345,644,595,169,509,24,999,49,7,52,6097,120,4.25,1.277,8.3,1.0,3.2,6.2,1.96,1096
ARI,20,31.7,4.16,98,64,.605,3.92,162,162,148,14,10,5,40,1446.2,1361,674,630,170,421,30,1303,54,11,48,6067,116,3.67,1.232,8.5,1.1,2.6,8.1,3.10,1053
ATL,20,31.1,3.51,101,59,.631,3.13,161,161,158,3,15,2,57,1467.1,1302,565,511,123,554,63,1058,42,4,40,6131,133,3.83,1.265,8.0,0.8,3.4,6.5,1.91,1164
BAL,20,27.8,4.77,67,95,.414,4.46,162,162,154,8,3,1,31,1450.2,1491,773,719,208,549,34,967,54,1,54,6258,97,4.74,1.406,9.3,1.3,3.4,6.0,1.76,1133
BOS,18,31.1,4.10,93,69,.574,3.75,162,162,157,5,17,3,51,1446.0,1339,665,603,146,430,29,1157,84,6,31,6049,122,3.74,1.223,8.3,0.9,2.7,7.2,2.69,1046
CHC,22,27.6,4.69,67,95,.414,4.29,162,162,151,11,9,3,23,1441.1,1373,759,687,167,606,53,1333,58,2,44,6236,94,4.00,1.373,8.6,1.0,3.8,8.3,2.20,1153
CHW,16,25.8,4.93,81,81,.500,4.53,162,162,155,7,7,4,35,1423.0,1422,798,716,190,528,31,945,60,6,54,6131,99,4.61,1.370,9.0,1.2,3.3,6.0,1.79,1064
CIN,21,28.7,4.78,78,84,.481,4.27,162,162,160,2,8,1,42,1453.2,1502,774,690,173,550,63,980,56,2,52,6296,100,4.41,1.412,9.3,1.1,3.4,6.1,1.78,1161
CLE,31,28.1,5.17,74,88,.457,4.91,162,162,153,9,4,2,34,1424.2,1508,837,777,142,603,38,1058,57,8,52,6271,90,4.16,1.482,9.5,0.9,3.8,6.7,1.75,1160
COL,22,28.5,5.54,73,89,.451,5.20,162,162,161,1,8,0,43,1426.2,1554,898,825,225,582,49,920,64,6,42,6345,92,5.08,1.497,9.8,1.4,3.7,5.8,1.58,1167
DET,30,28.1,5.37,55,106,.342,4.92,161,161,150,11,7,4,33,1414.0,1593,864,773,163,463,34,794,62,8,59,6215,87,4.44,1.454,10.1,1.0,2.9,5.1,1.71,1109
FLA,21,26.1,4.71,79,83,.488,4.36,162,162,151,11,12,6,36,1456.1,1449,763,706,151,631,46,1104,58,7,55,6340,92,4.21,1.428,9.0,0.9,3.9,6.8,1.75,1208
HOU,21,27.3,4.29,84,78,.519,4.00,162,162,160,2,11,2,43,1445.0,1423,695,642,151,546,78,1219,55,3,38,6205,108,3.88,1.363,8.9,0.9,3.4,7.6,2.23,1175
KCR,26,27.8,5.50,62,100,.383,5.21,162,162,150,12,6,4,30,1441.0,1587,891,834,212,572,48,909,52,6,68,6386,96,4.91,1.498,9.9,1.3,3.6,5.7,1.59,1172
LAD,19,31.0,3.97,92,70,.568,3.69,162,162,158,4,15,2,56,1457.2,1311,643,598,165,555,45,1132,46,3,33,6139,103,4.12,1.280,8.1,1.0,3.4,7.0,2.04,1123
MIL,25,26.8,5.07,56,106,.346,4.73,162,162,155,7,4,3,32,1432.1,1468,821,752,199,666,82,1026,62,8,64,6339,86,4.86,1.490,9.2,1.3,4.2,6.4,1.54,1221
MIN,19,28.8,4.42,94,67,.584,4.12,161,161,153,8,9,5,47,1444.2,1454,712,662,184,439,24,1026,45,3,62,6133,109,4.20,1.310,9.1,1.1,2.7,6.4,2.34,1087
MON,20,27.7,4.43,83,79,.512,3.97,162,162,153,9,3,1,39,1453.0,1475,718,641,165,508,80,1088,46,5,51,6246,107,4.08,1.365,9.1,1.0,3.1,6.7,2.14,1169
NYM,25,30.3,4.37,75,86,.466,3.89,161,161,152,9,10,6,36,1442.2,1408,703,624,163,543,75,1107,55,7,22,6212,103,4.14,1.352,8.8,1.0,3.4,6.9,2.04,1181
NYY,17,33.1,4.33,103,58,.640,3.87,161,161,152,9,11,5,53,1452.0,1441,697,625,144,403,44,1135,48,2,59,6159,114,3.62,1.270,8.9,0.9,2.5,7.0,2.82,1106
OAK,17,27.4,4.04,103,59,.636,3.68,162,162,153,9,19,5,48,1452.0,1391,654,593,135,474,45,1021,62,9,40,6158,118,3.87,1.284,8.6,0.8,2.9,6.3,2.15,1148
PHI,20,28.5,4.50,80,81,.497,4.17,161,161,156,5,9,3,47,1449.2,1381,724,671,153,570,54,1075,70,5,68,6222,93,4.18,1.346,8.6,0.9,3.5,6.7,1.89,1149
PIT,19,28.1,4.53,72,89,.447,4.23,161,161,159,2,7,1,47,1412.2,1447,730,664,163,572,93,920,55,5,34,6131,101,4.49,1.429,9.2,1.0,3.6,5.9,1.61,1163
SDP,37,27.8,5.03,66,96,.407,4.62,162,162,157,5,10,2,40,1436.1,1522,815,737,177,582,61,1108,66,4,51,6333,81,4.37,1.465,9.5,1.1,3.6,6.9,1.90,1209
SEA,19,30.2,4.31,93,69,.574,4.07,162,162,154,8,12,3,43,1445.1,1422,699,654,178,441,34,1063,49,3,42,6117,105,4.11,1.289,8.9,1.1,2.7,6.6,2.41,1082
SFG,17,29.2,3.80,95,66,.590,3.54,162,162,152,10,13,5,43,1437.1,1349,616,566,116,523,44,992,36,2,36,6056,109,3.80,1.302,8.4,0.7,3.3,6.2,1.90,1128
STL,26,30.2,4.00,97,65,.599,3.70,162,162,158,4,9,2,42,1446.1,1355,648,595,141,547,39,1009,60,2,40,6135,109,4.09,1.315,8.4,0.9,3.4,6.3,1.84,1148
TBD,22,26.9,5.70,55,106,.342,5.29,161,161,149,12,3,1,25,1440.1,1567,918,846,215,620,24,925,94,10,62,6424,84,5.11,1.518,9.8,1.3,3.9,5.8,1.49,1185
TEX,27,29.7,5.44,72,90,.444,5.15,162,162,158,4,4,2,33,1439.2,1528,882,824,194,669,32,1030,76,11,84,6446,92,4.84,1.526,9.6,1.2,4.2,6.4,1.54,1245
TOR,24,27.4,5.11,78,84,.481,4.80,162,162,156,6,6,2,41,1438.1,1504,828,767,177,590,56,991,71,4,57,6338,96,4.56,1.456,9.4,1.1,3.7,6.2,1.68,1195
LgAvg,20,28.8,4.62,81,81,.500,4.27,162,162,155,7,,,41,1442,1442,747,684,169,542,48,1046,58,5,50,6221,101,4.28,1.376,9.0,1.1,3.4,6.5,1.93,1147
,609,28.8,4.62,2425,2425,.500,4.27,4852,4852,4638,214,,,1224,43269.0,43272,22408,20527,5059,16246,1452,31394,1746,160,1494,186615,101,4.28,1.376,9.0,1.1,3.4,6.5,1.93,34400
